,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,dew_top_1,dew_top_3,dew_top_5,dew_top_None
roc_auc,0.71944,0.71436,0.73314,0.70536,0.68926,0.71462,0.70412,0.6942999999999999,0.73978,0.65022,0.69916,0.7110599999999999,0.7151200000000001,0.7170400000000001
accuracy,0.6559000000000001,0.65064,0.6567800000000001,0.6455,0.6411,0.64808,0.64376,0.64196,0.6732799999999999,0.59858,0.6358999999999999,0.6550400000000001,0.6550400000000001,0.65852
weighted_f1_score,0.6559819296159599,0.6505758525688092,0.6567359622578471,0.6457121378488504,0.6356409763015975,0.6423212562810436,0.6381202848795359,0.6374513208106738,0.672705818205824,0.5958178354637037,0.6358881624044439,0.6553516270575158,0.6553311235766872,0.6585465021208974
