,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,dew_top_1,dew_top_3,dew_top_None
24,0.05565446615219116,0.02533823251724243,0.008761346340179443,0.008771419525146484,0.27578563017856095,0.08316882876489518,0.10494513883753387,0.13699986668491138,0.08742811612508261,0.029336512088775635,0.05565446615219116,0.08095989342340637,0.08623815000639001
25,0.377407431602478,0.6494712829589844,0.2659229040145874,0.10472172498703003,0.42089649714649713,0.3253697387356591,0.37135415700315133,0.35603275634909837,0.3588970615996857,0.28189587593078613,0.10472172498703003,0.2769871807545774,0.36188344085961677
26,0.6524776816368103,0.40881890058517456,0.7427409291267395,0.4170055389404297,0.5364713834693817,0.7850622451312373,0.5978185600127348,0.5498147918301343,0.5862762538415803,0.924936980009079,0.7427409291267395,0.6035674549535344,0.5834665630085297
27,0.05023205280303955,0.025978505611419678,0.023493587970733643,0.021269619464874268,0.308538311640949,0.3187691843887117,0.22768744018564224,0.2924348138172934,0.15855043948533298,0.0019446611404418945,0.05023205280303955,0.03209032320915206,0.1493328872069497
28,0.7104927897453308,0.7056711912155151,0.931454710662365,0.9096286967396736,0.640781389177575,0.6588462803657181,0.7050418765965822,0.6671090059706399,0.741128242559175,0.8073916435241699,0.7104927897453308,0.7849704442833366,0.7451233781207545
29,0.01251441240310669,0.008910894393920898,0.024874567985534668,0.010220170021057129,0.21596885709853342,0.16388091465015775,0.2331960190184058,0.15016008522157098,0.10246574009903586,0.23758989572525024,0.01251441240310669,0.010571665811376363,0.09992917248634314
30,0.17305922508239746,0.054784417152404785,0.13049525022506714,0.16578197479248047,0.23412220662220662,0.20926394695635808,0.44439580987113825,0.30953758937756537,0.2151800525099523,0.07065069675445557,0.23412220662220662,0.23879221544359697,0.21454885819782488
31,0.09667688608169556,0.05567747354507446,0.2916940450668335,0.6550104320049286,0.1852211304021648,0.25438080787625483,0.23170598046366675,0.2340132407336033,0.2505474995217777,0.6372482180595398,0.2916940450668335,0.33459224881072114,0.2527604608211347
32,0.48756086826324463,0.5629433691501617,0.26942121982574463,0.5339295566082001,0.5529730393134176,0.5430813940900148,0.5357776412776413,0.4700747799731888,0.4944702335627017,0.8539800643920898,0.26942121982574463,0.4391752220598901,0.4901511105012559
33,0.15565192699432373,0.4160255193710327,0.22719770669937134,0.25149452686309814,0.37670518590382773,0.37086193769000453,0.399932341365798,0.47530537320696453,0.3341468147618025,0.07506310939788818,0.22719770669937134,0.26627788284608656,0.3246064007074603
