,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,dew_top_1,dew_top_3,dew_top_None
71,0.5666949152946472,0.8209488987922668,0.7120382487773895,0.599394679069519,0.6922792765605454,0.7043263626737386,0.6558701900275556,0.6319092386662797,0.6729327262327427,0.5681459903717041,0.7043263626737386,0.6642206954039958,0.6789592063069516
72,0.13209593296051025,0.5829725861549377,0.213348388671875,0.328329861164093,0.44348841859270016,0.5057090332235737,0.4544535753980792,0.5446224141559686,0.40062752629021725,0.5668026804924011,0.13209593296051025,0.2605013493723207,0.37470398158836704
73,0.0956493616104126,0.21354538202285767,0.12905681133270264,0.08245104551315308,0.2832351385395846,0.3387921369087248,0.31710817161068106,0.25943998388339307,0.21490975392768874,0.2763954997062683,0.21354538202285767,0.19763870719149723,0.21330926864668776
74,0.6008139252662659,0.43686866760253906,0.13487166166305542,0.11209374666213989,0.45831590880766426,0.438902325134246,0.43693909706659584,0.460156708402942,0.38487025507568107,0.4307138919830322,0.438902325134246,0.4430321172268501,0.3925437388290369
75,0.86432184278965,0.6308014094829559,0.5631238222122192,0.9636252336204052,0.6642061608111582,0.6124070974159818,0.573525230956387,0.7005675393673276,0.6965722920820105,0.8043241500854492,0.9636252336204052,0.7783193345883253,0.7201321579618395
76,0.8315472602844238,0.7614861130714417,0.5081746876239777,0.6580358445644379,0.7464924745520801,0.6602859323716905,0.6140771279120536,0.5597228760279742,0.6674777895510099,0.6546480059623718,0.6580358445644379,0.665920238114392,0.6681425705336451
77,0.8150365352630615,0.6689229309558868,0.8850607052445412,0.742693156003952,0.6307999237301516,0.6105892896473406,0.621351703002832,0.5512191446486663,0.6907091735620541,0.612038254737854,0.8850607052445412,0.7703760052481525,0.6976334460376818
78,0.49163341522216797,0.782441645860672,0.6902479529380798,0.3729497790336609,0.3466421586698819,0.38539319797631144,0.39499451312486444,0.4001800380638837,0.48306033761119027,0.905361570417881,0.782441645860672,0.6217857443030055,0.4992007667428058
79,0.45881325006484985,0.403653085231781,0.27579718828201294,0.5332273244857788,0.5362951175215984,0.43651557192209034,0.4735383864650724,0.5059491922074493,0.4529736395225792,0.297407329082489,0.27579718828201294,0.37454475713369995,0.4408040442377682
80,0.34574854373931885,0.45415443181991577,0.4702033996582031,0.08525407314300537,0.5922255425910322,0.5970374596369967,0.61906194136153,0.5737318897074439,0.4671771602071808,0.4683266878128052,0.08525407314300537,0.3757689886459662,0.4730327164235548
