,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,<class 'new_models.DEWClassifier'>_top_1,<class 'new_models.DEWClassifier'>_top_3,<class 'new_models.DEWClassifier'>_top_5,<class 'new_models.DEWClassifier'>_top_None
specificity,0.825,0.83124,0.8125,0.7750199999999999,0.86876,0.8375199999999999,0.85,0.825,0.78124,0.8374600000000001,0.76254,0.80626,0.8124800000000001,0.82498,0.8187199999999999
ppv,0.79254,0.79938,0.779,0.7303599999999999,0.8290000000000001,0.80608,0.82356,0.78806,0.75494,0.8034800000000001,0.72416,0.7746999999999999,0.7779999999999999,0.7856,0.778
npv,0.81272,0.79696,0.80664,0.75686,0.7923,0.80244,0.8103999999999999,0.78586,0.8232800000000001,0.8143800000000001,0.76396,0.80892,0.8044399999999999,0.79726,0.7911
gmean_sens_spec,0.79794,0.7894,0.78772,0.7402,0.79498,0.7966999999999999,0.8051600000000001,0.77904,0.78738,0.8045200000000001,0.7411000000000001,0.7891199999999999,0.78868,0.7872,0.7804800000000001
gmean_all_metrics,0.8000400000000001,0.7933800000000001,0.79002,0.7418,0.80242,0.8001999999999999,0.8106,0.7828,0.78772,0.80662,0.74236,0.7902199999999999,0.7898200000000001,0.7892600000000001,0.78246
roc_auc,0.87964,0.86438,0.87134,0.8411200000000001,0.8910600000000001,0.88468,0.8908999999999999,0.86548,0.8580200000000001,0.8868199999999999,0.7543200000000001,0.8566800000000001,0.8675200000000001,0.87042,0.87758
accuracy,0.80152,0.7948000000000001,0.7917,0.74424,0.80488,0.8017,0.81182,0.78494,0.78826,0.80848,0.74424,0.7916399999999999,0.79154,0.79154,0.7848200000000001
sensitivity,0.78862,0.74498,0.78176,0.75186,0.7523799999999999,0.7523799999999999,0.7812,0.76668,0.75238,0.7891600000000001,0.75902,0.75236,0.78864,0.76668,0.76668
specificity,0.84374,0.77498,0.83124,0.79374,0.85,0.85,0.825,0.825,0.8187599999999999,0.83126,0.7875,0.8,0.80002,0.8062400000000001,0.79998
ppv,0.8164199999999999,0.74236,0.8045199999999999,0.763,0.8192,0.81394,0.80044,0.78996,0.79086,0.8054399999999999,0.75956,0.7677400000000001,0.77538,0.7796,0.77416
npv,0.82348,0.78006,0.8184799999999999,0.79314,0.7994399999999999,0.8006,0.81532,0.80754,0.7966200000000001,0.8233799999999999,0.79812,0.79258,0.81698,0.80328,0.8021
gmean_sens_spec,0.8149200000000001,0.7589,0.8039799999999999,0.76974,0.7984199999999999,0.7990200000000001,0.8008400000000002,0.7942400000000001,0.7811,0.8079000000000001,0.76998,0.7736000000000001,0.7929,0.7838800000000001,0.78078
gmean_all_metrics,0.81724,0.75984,0.8073799999999999,0.77338,0.80352,0.80296,0.8039799999999999,0.7963000000000001,0.78686,0.8107800000000001,0.77376,0.77656,0.7941800000000001,0.78722,0.78398
roc_auc,0.9018,0.8614200000000001,0.89236,0.8602399999999999,0.88918,0.88422,0.8860800000000001,0.8803799999999999,0.86524,0.89606,0.77324,0.85768,0.87508,0.8763,0.8855600000000001
accuracy,0.8184799999999999,0.76124,0.80854,0.7746999999999999,0.8051,0.8049800000000001,0.8049800000000001,0.79802,0.78826,0.81188,0.77468,0.7782,0.795,0.7882999999999999,0.78492
sensitivity,0.7301599999999999,0.7452400000000001,0.7447,0.7447,0.7524,0.74524,0.76668,0.7301599999999999,0.76666,0.75236,0.73042,0.78176,0.8036999999999999,0.7963,0.7889
specificity,0.84374,0.8624600000000001,0.8625,0.79376,0.8750199999999999,0.88752,0.88124,0.81874,0.825,0.8749800000000001,0.78124,0.8187199999999999,0.84376,0.8312799999999999,0.83754
ppv,0.8074,0.83596,0.8237399999999999,0.7654799999999999,0.84094,0.85914,0.8504400000000001,0.7885,0.7908999999999999,0.8419399999999999,0.7493399999999999,0.79416,0.8206,0.8061399999999999,0.81044
npv,0.78578,0.8021800000000001,0.80054,0.78122,0.80432,0.80474,0.8172,0.77708,0.8057400000000001,0.80772,0.76906,0.81214,0.8317,0.82476,0.8217800000000001
gmean_sens_spec,0.78316,0.79698,0.79996,0.7678399999999999,0.8110200000000001,0.81064,0.8205600000000001,0.77174,0.79478,0.80934,0.7547,0.79918,0.8230000000000001,0.8131600000000001,0.8121600000000001
gmean_all_metrics,0.78944,0.8071400000000001,0.8058,0.77028,0.8165800000000001,0.8205199999999999,0.82684,0.77688,0.79644,0.8165800000000001,0.7566599999999999,0.80094,0.8244400000000001,0.81418,0.81396
roc_auc,0.8809799999999999,0.8932399999999999,0.8881,0.86754,0.8812199999999999,0.88634,0.89218,0.8769000000000002,0.8727,0.89786,0.7558400000000001,0.86662,0.8792199999999999,0.8908400000000001,0.89276
accuracy,0.7914800000000001,0.80854,0.8083199999999999,0.7714599999999999,0.8185600000000001,0.82204,0.8286,0.77832,0.7981,0.8184199999999999,0.75802,0.80188,0.82538,0.8152200000000001,0.8151400000000001
sensitivity,0.73758,0.7746,0.75898,0.76746,0.72988,0.70846,0.745,0.7455,0.7738,0.7738200000000001,0.7746,0.7746000000000001,0.7891600000000001,0.78942,0.76748
specificity,0.85624,0.85624,0.83124,0.83748,0.86876,0.8875,0.8812599999999999,0.88124,0.8124800000000001,0.89376,0.83124,0.83124,0.875,0.89374,0.89998
ppv,0.8175799999999999,0.8219000000000001,0.80256,0.8021800000000001,0.8346399999999999,0.85054,0.8482000000000001,0.8432600000000001,0.78562,0.8645400000000001,0.7986199999999999,0.80016,0.8477600000000001,0.86438,0.8667200000000002
npv,0.7921799999999999,0.8166800000000001,0.8012600000000001,0.8109200000000001,0.7895000000000001,0.78034,0.80088,0.80184,0.8075600000000002,0.8229000000000001,0.81404,0.81328,0.8321,0.8359400000000001,0.82028
gmean_sens_spec,0.79416,0.81412,0.7928200000000001,0.8005999999999999,0.79494,0.79196,0.8096400000000001,0.8103200000000002,0.7916000000000001,0.8308,0.8013599999999999,0.80134,0.8293799999999999,0.8385399999999998,0.83056
gmean_all_metrics,0.79932,0.81666,0.7969799999999999,0.8033999999999999,0.8029999999999999,0.80298,0.8167,0.8162600000000001,0.79378,0.83696,0.8036399999999999,0.80378,0.83424,0.84398,0.8367800000000001
roc_auc,0.86948,0.87842,0.8775599999999999,0.87958,0.8865000000000001,0.87952,0.8783,0.8942,0.8815,0.89754,0.8116999999999999,0.86516,0.87504,0.87492,0.8948600000000001
accuracy,0.8017200000000001,0.8185800000000001,0.7982800000000001,0.80514,0.8050600000000001,0.80518,0.8186200000000001,0.8185799999999999,0.7948800000000001,0.83866,0.8051600000000001,0.80504,0.83538,0.84544,0.8387
