,Estim(XGBRegressor)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBRegressor)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBRegressor)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBRegressor)_Imputer(KNNImputer),Estim(RandomForestRegressor)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestRegressor)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestRegressor)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestRegressor)_Imputer(KNNImputer),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingRegressor'>,dew_top_1,dew_top_3,dew_top_None
0,1.1014328002929688,1.941915512084961,2.8626890182495117,2.883481979370117,0.21308355409945712,1.0030368477446725,0.5602492963508592,0.3656152934115706,1.3664380377005152,2.6286754608154297,0.21308355409945712,0.7427265849792875,1.2209460885744488
1,1.8754539489746094,1.8838615417480469,1.3737821578979492,0.9557008743286133,0.35657303165019805,0.3070042146106946,0.034943426644840514,0.5867625416427593,0.8450091635345398,1.7707271575927734,0.5867625416427593,0.7701571206008175,0.7733893246478694
2,3.3705854415893555,3.4607791900634766,2.9469871520996094,2.2296056747436523,2.5985250192738576,2.693637018062036,3.380070123395953,2.5346793416832316,2.901858620113895,2.219388961791992,3.3705854415893555,3.165709295896182,2.946683144465478
3,0.4499397277832031,0.843684196472168,4.311211585998535,1.5716228485107422,1.3419435448819623,0.5639601691541412,1.5598982635978977,1.7592670419941463,1.5501909222991,0.40985965728759766,1.3419435448819623,1.3357363817579753,1.4614199089532622
4,2.1811752319335938,1.6636552810668945,0.7307224273681641,0.532414436340332,0.15318792339339993,0.05586450989277836,0.5261722066002079,0.6819365918440798,0.045436947855591825,0.5988502502441406,0.7307224273681641,0.357535804191226,0.08877089007635242
5,2.2977523803710938,0.1624765396118164,1.3824539184570312,5.226472854614258,0.5711003813889732,0.18654302374218723,1.5531688660016876,0.7765836876433188,1.478949821575842,2.1961193084716797,0.5711003813889732,0.9835446944903037,1.3494633711915842
6,0.17693328857421875,0.9795007705688477,2.0640249252319336,0.5817661285400391,0.8240561131718689,0.10085692875907704,0.35047632665057193,0.12292124874631583,0.3690893036572582,0.4567394256591797,0.9795007705688477,0.18125611696893174,0.3428227618289128
7,1.7024669647216797,2.9108200073242188,2.171487808227539,1.5982675552368164,2.1663610298214913,2.476664896815439,2.4424570676008415,2.351463184645473,2.2274985642991876,3.9658288955688477,2.1663610298214913,2.301838859942606,2.1981528775971952
8,0.11784172058105469,0.5503377914428711,1.8070611953735352,2.751450538635254,0.5885130697022358,0.42770024414615193,1.2245831053439993,0.9282267037724363,1.0200038659794295,0.7231426239013672,1.2245831053439993,0.9027199791534493,0.9955492255622271
9,0.4417123794555664,1.1188173294067383,1.3164091110229492,1.935633659362793,0.5231138533119726,0.261079789158968,0.26787462581053667,0.1590738499247042,0.22781363630830676,2.164628028869629,0.1590738499247042,0.4911271759076392,0.39375957151098717
