,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,dew_top_1,dew_top_3,dew_top_None
roc_auc,0.54708,0.5335000000000001,0.5285,0.47426,0.59738,0.59914,0.46128,0.5259199999999999,0.5539799999999999,0.53762,0.5681999999999999,0.50376,0.5543
accuracy,0.95572,0.95572,0.9533799999999999,0.95572,0.95922,0.96038,0.9580400000000001,0.95922,0.95922,0.95922,0.95688,0.95922,0.95922
weighted_f1_score,0.93747985150296,0.9374763940792683,0.9363072298737194,0.9374763940792683,0.939235369653072,0.9418294058528807,0.9386490795467175,0.939235369653072,0.939235369653072,0.939235369653072,0.9380662054475227,0.939235369653072,0.939235369653072
