,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,dew_top_1,dew_top_3,dew_top_5,dew_top_None
roc_auc,0.71612,0.70618,0.71646,0.69668,0.71418,0.7098600000000002,0.7152999999999999,0.7047000000000001,0.73356,0.6584000000000001,0.7047000000000001,0.70586,0.71704,0.71702
accuracy,0.64632,0.64634,0.65768,0.63766,0.6463599999999999,0.65502,0.65158,0.63504,0.66286,0.62374,0.63504,0.64808,0.65418,0.65506
weighted_f1_score,0.6464484131754131,0.646153060508493,0.657608114409253,0.6377043136030718,0.6439986712088014,0.6524139435924414,0.6497197217981172,0.6323377367727566,0.6624756576903008,0.6235988024074968,0.6323377367727566,0.6457683435340906,0.6534839796872374,0.6547987379528457
