,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,dew_top_1,dew_top_3,dew_top_None
875,0.2830912470817566,0.23237448930740356,0.18062955141067505,0.6756372451782227,0.35662906716450804,0.37034604145574246,0.3787167585744706,0.385946228149292,0.35792132854025893,0.41974127292633057,0.2830912470817566,0.23304697859703616,0.35569858177902547
876,0.427190363407135,0.6266144514083862,0.5148661732673645,0.6287881731987,0.4832921934236527,0.45047546986025333,0.42461580014835876,0.42760179317289393,0.49793055223584304,0.4747121334075928,0.6287881731987,0.5254681057920116,0.5016384380007881
877,0.5922969281673431,0.4619152545928955,0.2551952600479126,0.33102649450302124,0.4843310272372725,0.4341110521616698,0.43085735629106525,0.42692589220806854,0.42708240815115606,0.34721195697784424,0.2551952600479126,0.346136680258045,0.423168280187162
878,0.456748366355896,0.4565635323524475,0.48354268074035645,0.35045796632766724,0.4795237592453254,0.43776127121599506,0.44650910558330625,0.44443859115233275,0.4444431591216659,0.437119722366333,0.48354268074035645,0.4311309874315068,0.4443134500057264
879,0.10179400444030762,0.10956883430480957,0.41892337799072266,0.2239198088645935,0.29516149703315375,0.3455015176122843,0.3337768632225572,0.35237279082181705,0.2726273367862807,0.14625650644302368,0.10956883430480957,0.20754656307761365,0.268636947687381
880,0.16358870267868042,0.22979241609573364,0.0823790431022644,0.28966063261032104,0.3303550125721094,0.33981330265112863,0.3379803402235919,0.3515252622525241,0.26563683902329416,0.24017179012298584,0.16358870267868042,0.1784139579545947,0.262997567167372
881,0.10248535871505737,0.09192138910293579,0.060982584953308105,0.15867102146148682,0.2991146366807652,0.3150859773884639,0.30567746382322225,0.3325151542735739,0.2083066982998516,0.046704232692718506,0.10248535871505737,0.11718853730373979,0.20078106822342812
882,0.1013975739479065,0.06805175542831421,0.028104960918426514,0.07271826267242432,0.3070444816062725,0.32021001499679613,0.31193333879667695,0.33996094295278534,0.19367766641495032,0.025649309158325195,0.1013975739479065,0.06610894693939784,0.18862076402818562
883,0.15721851587295532,0.1385784149169922,0.054995954036712646,0.12538236379623413,0.3088894409738355,0.32414602246399804,0.31193333879667695,0.333561914863724,0.21933824571514116,0.06188821792602539,0.12538236379623413,0.1968867988649079,0.21536571597692356
884,0.09206944704055786,0.5099507570266724,0.3139927387237549,0.4802483916282654,0.29516149703315375,0.40435498316227003,0.38118291340104205,0.39766233289546105,0.35932788261389725,0.4868907928466797,0.3139927387237549,0.30792567940653726,0.35895686959998696
885,0.2095152735710144,0.1902959942817688,0.3178691864013672,0.23685002326965332,0.3220870603955932,0.3413325658848073,0.3354508361921341,0.3631759143940456,0.28957210679879797,0.11151117086410522,0.23685002326965332,0.25425265843488687,0.287742945379456
886,0.28960585594177246,0.190263032913208,0.35726678371429443,0.22604483366012573,0.3220870603955932,0.337776819110303,0.31729860779394226,0.3631759143940456,0.30043986349041063,0.1949249505996704,0.190263032913208,0.23517093955077506,0.2976242091525332
887,0.36990541219711304,0.4153675436973572,0.39739567041397095,0.27743834257125854,0.42946317565692216,0.40840270350722796,0.3766359770351444,0.40776442718580763,0.3852966565331002,0.21933019161224365,0.4153675436973572,0.36376394789745525,0.3846488946261277
888,0.07267880439758301,0.13307547569274902,0.12426280975341797,0.1878834366798401,0.2935142186309899,0.31943906694669233,0.30204450811588135,0.3385314454972401,0.2214287207142992,0.12860316038131714,0.1878834366798401,0.14889357280047477,0.21567405043909582
889,0.1349887251853943,0.11839687824249268,0.1327352523803711,0.17939543724060059,0.31002779982819195,0.3263837077991869,0.3187828200952496,0.3356329819977101,0.23204295034614963,0.10116469860076904,0.1349887251853943,0.14887825885998573,0.2247744954055586
890,0.19448941946029663,0.3968693017959595,0.22727686166763306,0.29320043325424194,0.32204140111020996,0.39708957567249126,0.3367763007589666,0.35067901387964395,0.31480278844993037,0.1939064860343933,0.22727686166763306,0.2717196764683205,0.3122239699200533
891,0.19075733423233032,0.14639383554458618,0.18345510959625244,0.3263562321662903,0.31981896209417326,0.3317191151979213,0.3372053771009277,0.35047008021374826,0.2732720057682787,0.2512097954750061,0.3263562321662903,0.22063208987943206,0.2692271795218333
892,0.17100638151168823,0.23097211122512817,0.22454160451889038,0.19826465845108032,0.3104713401255925,0.3829641840710587,0.3644949745402214,0.34922100651242716,0.2789920326195109,0.10560297966003418,0.23097211122512817,0.20919183078293102,0.27378955907476765
893,0.24505579471588135,0.19595497846603394,0.2193482518196106,0.26691263914108276,0.4055896228245932,0.39557915942472066,0.3803706393484785,0.397348374386824,0.3132699325159032,0.21010249853134155,0.19595497846603394,0.22748156798957275,0.3082693949073031
894,0.28701597452163696,0.35958510637283325,0.4110085964202881,0.3220406770706177,0.47932574760699975,0.41667434318768326,0.47293128213217317,0.3691098117063256,0.3897114423773197,0.28450196981430054,0.35958510637283325,0.3638562234832161,0.3891905593049585
895,0.6723657548427582,0.5226239860057831,0.30735355615615845,0.4441777467727661,0.500630262427266,0.4686324896656092,0.44714147257660897,0.4400056297901268,0.4753663622796346,0.3901044726371765,0.30735355615615845,0.4709625166294238,0.47411581074125086
896,0.23476988077163696,0.1687660813331604,0.13796740770339966,0.16648393869400024,0.32878575962284384,0.34307114962751883,0.3413823171734911,0.3543430470289871,0.2594461977443798,0.08120536804199219,0.13796740770339966,0.1571845463530419,0.25477527259323485
897,0.2750518321990967,0.1493837833404541,0.12911665439605713,0.22560113668441772,0.32885824923304074,0.3367022821620307,0.35913743237663065,0.36895278167952716,0.2716005190089068,0.11129671335220337,0.2750518321990967,0.21150566277534466,0.267656622860041
