,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,dew_top_1,dew_top_3,dew_top_None
roc_auc,0.73918,0.7581600000000001,0.76072,0.7283000000000001,0.7137600000000001,0.7236,0.7133999999999999,0.7014199999999999,0.7597600000000001,0.36913999999999997,0.7014199999999999,0.6995,0.7380599999999999
accuracy,0.66628,0.68716,0.67762,0.65678,0.63246,0.64806,0.64028,0.64634,0.67416,0.39882,0.64634,0.6359199999999999,0.67588
weighted_f1_score,0.666274817252157,0.6866376777638861,0.677221690301189,0.6564213875595358,0.6282799398387799,0.6438876934072194,0.6359228479684157,0.6436873110383408,0.6736845276214637,0.39239619280344706,0.6436873110383408,0.6323885655416954,0.6754386732957993
