,0,1,2,3,4,5,6,7
0,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
1,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
3,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
4,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
5,0.8336243,0.00025827318,0.16607058,1.8069708e-06,1.601615e-05,1.0288717e-05,1.8615647e-05,6.455502e-08
6,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
7,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
8,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
9,0.42760694,4.4853005e-05,0.47814497,0.0763308,0.011532017,4.4853005e-05,0.002040263,0.0042553847
10,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
11,0.064297944,0.017136723,0.90841424,0.008245833,0.0004762892,0.0004762892,0.0004762892,0.0004762892
12,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
13,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
14,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
15,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
16,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
17,0.9550451,0.024890032,0.018466368,0.0002705544,0.00060410885,3.1268223e-06,0.00015074252,0.00056999846
18,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
19,0.022485478,0.8426016,0.022485478,0.022485478,0.022485478,0.022485478,0.022485478,0.022485478
20,0.04178169,0.0004928448,0.0004928448,0.9552612,0.0004928448,0.0004928448,0.0004928448,0.0004928448
21,0.5924377,0.058223184,0.058223184,0.058223184,0.058223184,0.058223184,0.058223184,0.058223184
22,0.69118017,0.006223977,0.006223977,0.068846315,0.006223977,0.006223977,0.006223977,0.2088536
23,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
24,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
25,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
26,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
