,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,dew_top_1,dew_top_3,dew_top_5,dew_top_None
sensitivity,0.6905399999999999,0.69212,0.7002999999999999,0.6659799999999999,0.59398,0.58416,0.5792599999999999,0.5972799999999999,0.67414,0.7019399999999999,0.6446799999999999,0.65942,0.65944,0.6594200000000001,0.6561600000000001
specificity,0.6370199999999999,0.64444,0.65186,0.6018600000000001,0.71668,0.73888,0.73148,0.67594,0.6037,0.68702,0.56852,0.65738,0.66296,0.67778,0.6815
ppv,0.6829999999999999,0.6872399999999999,0.69496,0.65376,0.7074,0.7164400000000001,0.70928,0.67634,0.6569,0.71716,0.6336999999999999,0.6845200000000001,0.68812,0.69794,0.7003600000000001
npv,0.6465799999999999,0.65232,0.6603800000000001,0.61524,0.6095200000000001,0.6119,0.60644,0.59742,0.6239,0.67276,0.58492,0.6325,0.634,0.63886,0.6366400000000001
gmean_sens_spec,0.6625599999999999,0.66694,0.67458,0.6330600000000001,0.6506000000000001,0.65644,0.65046,0.6349600000000001,0.6373,0.69384,0.59932,0.65794,0.6608400000000001,0.6682,0.66836
gmean_all_metrics,0.6635199999999999,0.66814,0.67594,0.63362,0.65348,0.65922,0.65312,0.6352800000000001,0.6387,0.69414,0.6039399999999999,0.6579,0.66066,0.66794,0.6680400000000001
roc_auc,0.73322,0.7331,0.7476999999999999,0.697,0.71568,0.7161799999999999,0.71618,0.6944000000000001,0.69946,0.7497400000000001,0.6713,0.7182599999999999,0.72044,0.72542,0.73048
accuracy,0.6655000000000001,0.66982,0.67764,0.6359,0.65154,0.65676,0.65068,0.63416,0.64112,0.6950000000000001,0.6090399999999999,0.65852,0.66112,0.66808,0.66806
