,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>
0,0.6693546175956726,0.2548427879810333,0.27437475323677063,0.348415806889534,0.6586265816019773,0.6148248045531781,0.6346512273655386,0.5130761521659911,0.48207647726459085,1.2571080923080444
1,0.13804282248020172,0.11701493710279465,0.5228461027145386,0.21273431181907654,0.36862044536900157,0.41033830018012374,0.3682552130247957,0.42239474349276296,0.3105474070463279,0.015667675994336605
2,0.048598919063806534,0.19426127523183823,0.3565973937511444,0.10612364113330841,0.10947596448523737,0.17848947827827596,0.1517623917430278,0.18081729528811163,0.16222627088499986,0.16082504391670227
3,0.20318098366260529,0.12911950051784515,0.24742614477872849,0.1999162957072258,0.5958517540924375,0.5766803656336786,0.7033438670130641,0.6741665595781327,0.39082869803453346,0.11158651858568192
4,0.053345561027526855,0.22231928259134293,0.15393821895122528,0.07854430750012398,0.6637235035950119,0.612869618153611,0.6576266037544762,0.7190434491913316,0.35801155560819475,0.01639082469046116
5,0.01118839904665947,0.03108823485672474,0.032958194613456726,0.04398525506258011,0.04837675935693331,0.12671804281981075,0.08292383668330525,0.1550098796041735,0.06541946502686188,0.02907383907586336
6,0.13110658526420593,0.15220937132835388,0.16337279975414276,0.13959522545337677,0.48795183826362076,0.5184930354963572,0.5496292563449784,0.48619159582324484,0.3119158871553863,0.6329324841499329
7,0.5880168080329895,0.15673960745334625,0.5709168314933777,0.47983406484127045,0.49169166420794563,0.5231098211835472,0.5561429629497499,0.6406262177922293,0.49043249861073823,0.18061169236898422
8,0.018876543268561363,0.05544758215546608,0.17604584991931915,0.051106542348861694,0.21909313262626617,0.26426076180173397,0.2156863436066942,0.20272931644750852,0.1465259457656427,0.010535107925534248
9,0.0024005952291190624,0.006296088453382254,0.005823548883199692,0.011659440584480762,0.05448157228731606,0.11550195652708731,0.053107083221455756,0.14436875195004104,0.04792143745436715,0.02907383907586336
10,0.8558992147445679,1.3743473291397095,1.3330325484275818,1.0291725397109985,0.5438779787188045,0.5487757463862881,0.5490984396998622,0.5922472900301144,0.8019617033168679,1.3237541913986206
11,0.031203344464302063,0.01865331642329693,0.2835192531347275,0.06060128100216389,0.17762532894950622,0.27366493231571265,0.18997605836049875,0.1760546829181952,0.146686241225887,0.04844515956938267
12,0.4373481273651123,0.051104724407196045,0.19214384257793427,0.1574118211865425,0.3567824145487934,0.39732708793171756,0.38900530022964297,0.39494059946668475,0.2878561284675013,0.2119704931974411
13,0.36168381571769714,0.16475559771060944,0.22256925702095032,0.13873586803674698,0.6474705791342482,0.5496616257572233,0.5068373398630178,0.5605717783357146,0.37663819130587484,0.04011753387749195
14,1.4428685903549194,1.563803255558014,1.4039310216903687,1.0322704911231995,0.8633971486062298,0.8496357331762241,0.7968383362283287,0.654113919810347,1.0260476069160949,0.38698744773864746
15,1.6120920777320862,0.8726149499416351,1.6506622433662415,1.8332706093788147,0.609440765133905,0.9554041715643861,0.7689216937764128,0.8290569122772079,1.050742321758421,0.5282006859779358
16,0.26189425587654114,0.7078893184661865,0.7538191378116608,0.3542846590280533,0.45681751354625144,0.4428542606705318,0.5038168983166074,0.487515838896011,0.4844305159693262,0.8629704713821411
17,0.007821761537343264,0.0074238888919353485,0.011980035807937384,0.009110218845307827,0.05342501617003709,0.05115688799992851,0.045750912570375016,0.11621786002713543,0.03724731072919152,0.02907383907586336
18,0.09455076977610588,0.10677964240312576,0.08887806162238121,0.21338389813899994,0.3880755605958496,0.37552670199442684,0.3436037644092237,0.41727403147094744,0.244519295960935,0.040935738012194633
19,0.21401390433311462,0.29203028976917267,0.16905564069747925,0.35305649042129517,0.4602746892735619,0.49229232528840755,0.4611467470780529,0.4409181586643573,0.35356871920992694,0.13431810587644577
20,0.011910154484212399,0.03780214115977287,0.006370977498590946,0.009758035186678171,0.2801547817188479,0.347434468600755,0.29149065317729694,0.49802980566327193,0.169596334170104,0.02753401454538107
21,0.03826712816953659,0.04550965502858162,0.01499266643077135,0.009970043785870075,0.1300415288614039,0.13529694686154373,0.08649125369283311,0.12946963237124431,0.07251892377283493,0.02907383907586336
22,0.007683934178203344,0.006599068874493241,0.0015619369805790484,0.0026107507292181253,0.10938634478408919,0.1825420679035124,0.1314814336747608,0.15430020491797666,0.07190639828847756,0.02907383907586336
23,0.3696674555540085,0.3820047527551651,0.6200979351997375,0.4844791889190674,0.5674205681680248,0.5996271576457294,0.7390950597785237,0.6453570844461067,0.5435664241616942,0.10745061188936234
24,0.018803353421390057,0.05631554313004017,0.024855297058820724,0.023528678342700005,0.18223091118788415,0.18480196758393996,0.1950407744493501,0.1384047124069745,0.10022991476206518,0.02907383907586336
25,0.8606548011302948,0.42858727276325226,0.49119000136852264,0.44660884141921997,0.8440998787563537,0.8928978796437523,0.8547289429886159,0.8741660105135562,0.6911427785938371,0.23877055943012238
26,0.649836003780365,0.37430572509765625,0.7841899991035461,0.5281564593315125,0.7002689680361012,0.5127004899953168,0.4876855944827596,0.42665599746476734,0.5494494631797544,0.8006643056869507
27,0.3769977390766144,0.45172344148159027,0.45106297731399536,0.23179566860198975,0.9002542573268925,0.8235044540219669,0.8034917834998143,0.8618142165814768,0.5824957976346081,1.40525883436203
28,0.0031640464439988136,0.010873600374907255,0.00722886947914958,0.008804883807897568,0.12316908694069562,0.1797620480204088,0.18650003495907896,0.15542427601937908,0.08127095389272923,0.013650265987962484
29,0.16184692084789276,0.11474020034074783,0.21201001852750778,0.15591078996658325,0.3500377361489094,0.40482479303452734,0.34764563576445584,0.38192191176841256,0.2601619239426436,0.03142883814871311
30,0.6606467068195343,0.24327543377876282,0.43114490807056427,0.33579565584659576,0.5184230143390841,0.525697691944348,0.553780599751141,0.5783372944119838,0.4725446456216288,0.008742859587073326
31,0.50887131690979,0.4101087898015976,0.2191665917634964,0.2776447683572769,0.4981647386171597,0.5002689754039745,0.5060871014835981,0.4653699827261963,0.41735983984162367,0.4279130846261978
32,0.06758566573262215,0.0724501982331276,0.17605380713939667,0.4774276316165924,0.4591414378945039,0.4537277239486241,0.5339250241838215,0.6238140236465055,0.33669952245068013,0.26620806753635406
33,0.8773418068885803,0.08969954773783684,0.2293863371014595,0.32029396295547485,0.5395808343489676,0.5195178682648263,0.472408804340545,0.5361155977176305,0.4236231472738614,0.8866002261638641
