,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity)
49,0.11742226123870629,0.11771203722381429,0.11770506334334761,0.11739124149203371,0.10350299350697578,0.10329947368433214,0.10329947368433214,0.10229237177378354,0.1173750840526746
50,0.1198492682580965,0.11976465072801579,0.1190185344340435,0.11971085001531889,0.10235373645493107,0.10203289927376179,0.10140224180025102,0.09705116373720514,0.11881665529837601
51,0.10774880780761885,0.10762441448017979,0.10977522680975212,0.11606538498606293,0.10154244594632789,0.10451704047867985,0.10505885379014528,0.1091982907115738,0.13846953498965953
52,0.12348994618600906,0.11972279047056568,0.12307587637568608,0.12065016786150777,0.10069099878555661,0.09691179108196543,0.09835735569076297,0.10384233750188542,0.11325873604606101
53,0.11643040913734208,0.11645652882170578,0.11647836083527068,0.11613915330482405,0.10592862018785601,0.10593057730884044,0.1057144576226927,0.10194870768931487,0.11497318509215332
54,0.09983278018521104,0.1240274937131282,0.12379757656527052,0.12736212852780274,0.10070448083885354,0.10377439809023824,0.10432660662948226,0.10387004174515069,0.11230449370486313
55,0.1145697061575533,0.10344014164935121,0.1076806172903756,0.12900675177794468,0.11736108120620557,0.11157851146007983,0.11046521515647605,0.11596542396341203,0.08993255133860216
56,0.08530226960538645,0.11871246156657603,0.1252957675980616,0.1303652255307206,0.10216287004645157,0.11004265032125406,0.10965734471268107,0.11471941826332505,0.10374199235554377
57,0.10687019116655275,0.10735245507111002,0.10854982310875862,0.11454299997683311,0.1049683288345302,0.10620577301706204,0.10748589101775638,0.10718707770408588,0.13683746010331077
58,0.1154691888025112,0.1103513562138715,0.11188483233504758,0.11876666771070071,0.10105330000532846,0.09717860963032299,0.09821944475043044,0.09757393281654383,0.1495026677352434
0,0.12009179437636398,0.09845428407888554,0.130948465389677,0.12759268876487023,0.10049369646322502,0.09612981238674015,0.10736638563880342,0.10196200413386604,0.11696086876756832
1,0.11590268356042992,0.1157957822247695,0.1159700600554021,0.11590934860739974,0.10703035390551259,0.10619082203322149,0.10673826833184144,0.10145494609649193,0.11500773518493121
2,0.10978310807791433,0.1223364555547009,0.10528892389417793,0.10773842750804087,0.11301480959718523,0.113236739791409,0.11059398620582117,0.1080566787573499,0.10995087061340066
3,0.09814873060643148,0.11783648122467431,0.10345153860018085,0.11075782653397084,0.11030039093125947,0.11421317928704043,0.10947521307992303,0.11587347724091625,0.11994316249560337
4,0.12373881162627591,0.11929013344303369,0.12635895696672425,0.11826605168509066,0.10474538402995469,0.1002322697848834,0.10328282464996699,0.10214266202386509,0.10194290579020543
5,0.12715894352500695,0.10252111878943565,0.13572592424603766,0.12399708173367484,0.10534286769766936,0.10229910978260683,0.1136971892307263,0.09592011272077076,0.0933376522740718
6,0.11643063326821096,0.11644642933931364,0.1164688801960929,0.11634942375770146,0.1031407382203687,0.10688120534669487,0.10557430505632753,0.1021169280117869,0.11659145680350282
7,0.1275041321629926,0.12514375971111127,0.13778334328402747,0.11691469876560986,0.10156970354931928,0.10069329663064834,0.10916119449602557,0.09203277329796682,0.08919709810229864
8,0.11427955507110735,0.09139108736191126,0.1210222276675666,0.13147033023682492,0.10863958587866225,0.10296690099596723,0.11366933541738296,0.11180840822214959,0.104752569148428
9,0.12312003567397041,0.09783405904804413,0.10919113831940722,0.12046406811410888,0.1088437254619054,0.10736053208193116,0.10343456097980222,0.10678339688945444,0.12296848343137634
10,0.11217429199587395,0.12647484618353289,0.10625570516976537,0.09931679307222106,0.11213716622313244,0.11144302241234745,0.10823018637580174,0.10383252563349654,0.12013546293382873
11,0.12914068386181274,0.1070381419090702,0.10459222156391612,0.11727928905913186,0.11261105116285187,0.1083379548089139,0.106236450701981,0.11151241431778751,0.10325179261453489
12,0.10713358446701976,0.1069646425833626,0.10697705445103359,0.10711026444933126,0.11353576123670453,0.11090870333954798,0.1115139047758981,0.10695149222391945,0.12890459247318264
13,0.1195588643533343,0.10197586133751835,0.10964140453168333,0.11716043247485879,0.1050894710526165,0.10293869387103953,0.1045526972076223,0.10397837102899081,0.13510420414233626
14,0.11606663288907623,0.11588360423669257,0.11589705103487077,0.11569377455192631,0.107001205371257,0.10559865718138536,0.10573340803804254,0.10179634406407422,0.11632932263267473
15,0.10978310807791433,0.1223364555547009,0.10528892389417793,0.10773842750804087,0.11301480959718523,0.113236739791409,0.11059398620582117,0.1080566787573499,0.10995087061340066
16,0.10762179892590933,0.10736614774942939,0.10747618626921651,0.10763416943060225,0.11256236706026539,0.10865557669485762,0.10993155103064536,0.10920306614594127,0.1295491366931331
17,0.11799299836206967,0.11782187290790173,0.11782187290790173,0.11785227702509572,0.10366982277457494,0.10369772977750613,0.10369772977750613,0.10069788669296076,0.11674780977448315
18,0.10978310807791433,0.1223364555547009,0.10528892389417793,0.10773842750804087,0.11301480959718523,0.113236739791409,0.11059398620582117,0.1080566787573499,0.10995087061340066
19,0.11303857843431817,0.11147801675066014,0.1143715367999296,0.11712969196724377,0.11088568750098629,0.1045152606427986,0.10840277365841464,0.10366476577693873,0.1165136884687099
20,0.10919669514291594,0.08907392304894719,0.11537547982171155,0.1345298296018548,0.11077244131415523,0.10734849790577468,0.11607959459402221,0.11777262802727137,0.0998509105433467
21,0.11533637996000834,0.12463715056022134,0.1129920708077137,0.10810606625292521,0.1103178006033086,0.10876712670508577,0.10836864532626345,0.10563762750338507,0.10583713228108843
22,0.09293430173028125,0.12960587443927513,0.1023196722524202,0.10704325783014865,0.10707894110445527,0.117797466862242,0.10985089195305577,0.11348043543662988,0.11988915839149213
