,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,<class 'new_models.DEWClassifier'>_top_1,<class 'new_models.DEWClassifier'>_top_3,<class 'new_models.DEWClassifier'>_top_5,<class 'new_models.DEWClassifier'>_top_None
sensitivity,0.72302,0.7095400000000001,0.7309599999999999,0.69468,0.75266,0.71666,0.78148,0.7024,0.76034,0.79684,0.69468,0.7164200000000001,0.7674399999999999,0.79628,0.76746
specificity,0.775,0.7500199999999999,0.76876,0.76248,0.79374,0.75,0.78752,0.76874,0.78752,0.8125199999999999,0.7437400000000001,0.79374,0.8,0.7875,0.8124800000000001
ppv,0.74002,0.7048,0.73358,0.72526,0.75794,0.7098800000000001,0.76074,0.72174,0.75372,0.78586,0.70886,0.75236,0.7716799999999999,0.7694599999999999,0.78582
npv,0.7658,0.75696,0.7731999999999999,0.7438800000000001,0.79382,0.75786,0.8099999999999999,0.7566,0.79796,0.8266600000000001,0.7415399999999999,0.77074,0.80472,0.82104,0.808
gmean_sens_spec,0.74678,0.7271799999999999,0.7474000000000001,0.72412,0.77112,0.732,0.7834399999999999,0.7322600000000001,0.77196,0.80338,0.71452,0.7514199999999999,0.78048,0.78928,0.7858
gmean_all_metrics,0.74952,0.72868,0.74992,0.72892,0.77314,0.7326400000000001,0.78406,0.7353400000000001,0.77346,0.80446,0.71926,0.7559999999999999,0.78384,0.7916000000000001,0.79072
roc_auc,0.8351,0.78584,0.81104,0.81052,0.82904,0.8046,0.82514,0.8270799999999999,0.8504000000000002,0.8586,0.71924,0.8176399999999999,0.84948,0.849,0.8583399999999999
accuracy,0.75132,0.73114,0.7512999999999999,0.73136,0.77462,0.73452,0.7848200000000001,0.73802,0.77466,0.8052199999999999,0.7212,0.75804,0.78494,0.7916000000000001,0.7917
