,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,<class 'new_models.DEWClassifier'>_top_1,<class 'new_models.DEWClassifier'>_top_3,<class 'new_models.DEWClassifier'>_top_5,<class 'new_models.DEWClassifier'>_top_None
sensitivity,0.70792,0.6582,0.66322,0.6209,0.67806,0.7378600000000001,0.7516,0.6717,0.73704,0.7145600000000001,0.6357,0.67938,0.6934,0.70794,0.70028
specificity,0.77498,0.79374,0.74372,0.71872,0.76876,0.7875,0.8062400000000001,0.82498,0.75628,0.82502,0.71248,0.7562599999999999,0.7749600000000001,0.78124,0.78752
ppv,0.73248,0.7325200000000001,0.69784,0.65994,0.7192000000000001,0.75902,0.7740799999999999,0.77458,0.72628,0.78408,0.65978,0.7105400000000001,0.73518,0.744,0.7477600000000001
npv,0.7619,0.73894,0.72512,0.68644,0.74208,0.7798,0.7956799999999999,0.7477799999999999,0.7717,0.77586,0.69294,0.73502,0.75158,0.7607999999999999,0.7575799999999999
gmean_sens_spec,0.7370599999999999,0.71784,0.69714,0.66676,0.71702,0.7592599999999999,0.77544,0.74132,0.74506,0.7646200000000001,0.67206,0.71428,0.72846,0.74018,0.73888
gmean_all_metrics,0.7417,0.72622,0.7037,0.6698,0.7233400000000001,0.7637,0.77966,0.7506799999999999,0.74656,0.7718,0.67402,0.71816,0.73518,0.7456799999999999,0.74516
roc_auc,0.8128400000000001,0.79174,0.79722,0.7498400000000001,0.82846,0.82896,0.8315400000000001,0.8262,0.80356,0.8422599999999999,0.67412,0.78316,0.8250200000000001,0.8377399999999999,0.84032
accuracy,0.7443,0.73104,0.70718,0.67374,0.7272200000000001,0.76458,0.7813000000000001,0.7545200000000001,0.74758,0.7744800000000001,0.67712,0.72068,0.7373999999999999,0.74758,0.7476
