,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,<class 'new_models.DEWClassifier'>_top_1,<class 'new_models.DEWClassifier'>_top_3,<class 'new_models.DEWClassifier'>_top_5,<class 'new_models.DEWClassifier'>_top_None
sensitivity,0.65054,0.62802,0.6288199999999999,0.6793600000000001,0.59894,0.64998,0.6495,0.6568799999999999,0.59868,0.61374,0.69418,0.66404,0.6349400000000001,0.62038,0.60582
specificity,0.77498,0.75624,0.73124,0.75622,0.78752,0.8062400000000001,0.80002,0.75624,0.7500199999999999,0.80002,0.7499800000000001,0.73752,0.775,0.78752,0.7937799999999999
ppv,0.7114399999999999,0.6955199999999999,0.6697599999999999,0.70958,0.70974,0.74942,0.7447600000000001,0.69878,0.6772400000000001,0.72554,0.70762,0.6860799999999999,0.71058,0.71682,0.7193400000000001
npv,0.72268,0.70184,0.6984800000000001,0.73342,0.69564,0.72894,0.72674,0.71994,0.6870800000000001,0.7070399999999999,0.7414,0.7211000000000001,0.71412,0.7096,0.70182
gmean_sens_spec,0.7091999999999999,0.68836,0.6756800000000001,0.7153,0.68656,0.72208,0.71846,0.70464,0.66748,0.70066,0.7202,0.6980999999999999,0.6995600000000001,0.6970599999999999,0.69238
gmean_all_metrics,0.71304,0.6933,0.6796399999999999,0.71814,0.69446,0.73022,0.7266400000000001,0.7069,0.6745599999999999,0.70838,0.72206,0.70058,0.7057,0.7049,0.7012400000000001
roc_auc,0.7719800000000001,0.7760400000000001,0.76084,0.7417400000000001,0.7973199999999999,0.7962,0.8109399999999999,0.79858,0.7252,0.80914,0.7221,0.7637,0.78088,0.79684,0.7992799999999999
accuracy,0.71742,0.6973400000000001,0.68378,0.7208,0.7005600000000001,0.73436,0.7305200000000001,0.7104600000000001,0.6804,0.7141200000000001,0.72426,0.7036800000000001,0.71046,0.71058,0.70718
