,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>
183,0.1960558518767357,1.8793030381202698,2.4567683935165405,0.4431310296058655,0.47481197900353533,0.5221452302363556,0.4372213809168713,0.44661544112661133,0.6435801115542653,0.420439749956131
184,0.672964334487915,0.837388426065445,1.7021520733833313,2.613854765892029,0.5914679744553009,0.6592423653934544,0.9702104133202134,0.6735918208921635,0.929436056127303,0.23651999980211258
185,0.11606356874108315,0.23474854975938797,0.3892011195421219,0.2188195362687111,0.4097741432936568,0.4084149730237576,0.3835667520064719,0.38993266500535784,0.31312207655001567,1.1111527681350708
186,1.6953514218330383,0.4438675045967102,1.4504586458206177,1.4023060202598572,0.7819914861625522,0.7740883788560678,0.9206601397259047,0.838349936332698,0.9627030842025148,0.8970986008644104
187,0.190935380756855,1.1803679466247559,0.19169723242521286,0.9058350920677185,0.4087100140584258,0.37246303348467813,0.4202800928861298,0.3695783649607907,0.4571776135747312,1.6005820631980896
188,0.1749168038368225,0.2270217314362526,0.30154964327812195,0.17440585792064667,0.2571134909341056,0.19362926600544397,0.29906236685955073,0.14248451616122426,0.21970956454745155,0.3489913195371628
189,1.8330578804016113,3.09362530708313,3.839074969291687,3.531625747680664,1.177931799251276,1.1429180357682798,1.4783947795913366,1.2735562761641968,1.7496544517470043,1.1322754621505737
190,0.028416304849088192,0.008111353497952223,0.07331323251128197,0.051829924806952477,0.06009526157141072,0.10963759211797602,0.18357952592778665,0.08891948902521832,0.07421940291491057,0.05388576537370682
191,0.030987463891506195,0.020821337588131428,0.0055294937919825315,0.04347723163664341,0.08947751632189019,0.07382836867068462,0.04895231259951405,0.2484181002665189,0.0677005829842718,0.033069485798478127
192,2.378139615058899,2.0406817197799683,1.7655682563781738,1.0657936334609985,0.9615271738454094,1.1628754718430059,0.7824957449953915,0.8098980665056799,1.2313147240384816,2.2714667320251465
193,0.7615443766117096,0.08865069597959518,0.2577294409275055,0.2484482154250145,0.16602845781667044,0.2065399740465585,0.1502525745767245,0.17402736104040442,0.23951037366931405,0.291330486536026
194,0.023687230423092842,0.03907638043165207,0.05299071967601776,0.10121849551796913,0.3596686103274485,0.3637815219091846,0.36054393729096595,0.3638234582391672,0.19606747918813253,1.1824974417686462
195,0.146297425031662,0.017434390261769295,0.04044409468770027,0.03508152440190315,0.18189434616219433,0.08715944834381775,0.07727387625938421,0.06975916619171815,0.08053484430650089,0.16854073107242584
196,0.7028344869613647,0.9250419735908508,0.7761218547821045,0.6037042140960693,0.8886444078374678,0.9271176629418856,1.0409244323179458,1.040972753126669,0.8521989661712301,0.5885424017906189
197,0.06954360753297806,0.04433825425803661,0.10700323805212975,0.39674212038517,0.3930135283652555,0.3225411686621432,0.35197279649929125,0.4009486438046174,0.2496175684350353,0.22382594645023346
198,0.6725151240825653,0.21219295263290405,0.48802338540554047,1.8355896472930908,0.40063837949762604,0.39602758455756876,0.36707420191427875,0.6267819070396713,0.5398818489894941,0.8298063576221466
199,1.0474944710731506,1.2081037759780884,1.1631627678871155,1.8525646924972534,1.2321143191699013,0.95474496932874,1.2193029252322463,1.031877702303551,1.1844690791217771,0.542895495891571
200,0.3511180430650711,0.1370718702673912,0.08001280575990677,0.1341664046049118,0.4412476663589283,0.39669951222909083,0.41561694194822096,0.4465578005881906,0.2895360295748526,0.11931291967630386
201,1.3649815917015076,0.4388415664434433,1.2032643556594849,1.1778702139854431,1.0573581512482197,1.0557612831201402,1.1530201797542323,1.0500994151196232,1.025408487622198,1.4291781783103943
202,1.4743302464485168,0.8421786427497864,0.5391773581504822,0.8484740555286407,1.3654353614628492,1.026862801755331,1.1746901700143284,1.666111345272502,1.056166531252958,0.8745034337043762
203,0.28095854818820953,0.014742388390004635,0.1315266340970993,0.29445646703243256,0.4566415277319825,0.34629494411679984,0.3676029666504308,0.46363092588822996,0.28365410076786957,0.48901018500328064
204,0.04704153724014759,0.09312276914715767,0.041485244408249855,0.21825996786355972,0.38069838852374926,0.3756447775732367,0.3763106448030566,0.36144005285593445,0.2260068678159272,1.9634881615638733
205,0.731950968503952,0.1094626896083355,0.30106645822525024,0.09624544903635979,0.33226756614296316,0.33444670606667903,0.31370672896446605,0.34420025286307676,0.30481049461670817,0.3635607808828354
206,4.404489517211914,3.102407932281494,1.268261969089508,3.85084068775177,2.432719140553269,1.7727017802347182,1.7545788446167878,1.7907401849341786,2.1231498963021123,1.154667615890503
207,3.0939754247665405,1.3891363143920898,0.9360885620117188,1.3170796036720276,1.6245943059594565,1.674379416289304,1.530809312622445,1.4248190918063954,1.4938707895836045,1.7393847107887268
208,0.034897331148386,0.06760084256529808,0.10387729108333588,0.4387049078941345,0.3634886657417123,0.3419790101595083,0.3596813245084437,0.44468834983249295,0.25633241217716846,0.08798301219940186
209,0.20379410684108734,0.03399093076586723,0.03147570788860321,0.13986703008413315,0.41992968866676916,0.4252702176951497,0.41235771055792025,0.46627024133965717,0.25154139167690537,0.639459490776062
210,0.015180552378296852,0.0260050930082798,0.06903546303510666,0.056884706020355225,0.5678146900028065,0.3599870467506171,0.19876877604960352,0.37014484284343024,0.1905428891430997,0.023662878200411797
211,0.7167856991291046,0.26935605704784393,0.8584916293621063,0.2990642189979553,0.25934611476824376,0.1681075209260911,0.3729846938457242,0.21092472502005685,0.36874158193753054,0.5776557922363281
212,0.01276901038363576,0.008305913768708706,0.005998806096613407,0.012892686761915684,0.17191599844802763,0.14945579698467903,0.11807206520336197,0.1104781988045266,0.07156123826400687,0.03388736769556999
