,0,1,2,3,4,5,6,7
0,0.08027672,0.05000482,0.10563854,0.0860362,0.1637901,0.16238825,0.17662193,0.17524345
1,0.07981633,0.10034834,0.16872121,0.11499289,0.09027412,0.16594943,0.15946785,0.12042987
2,0.1494109,0.089436226,0.10445136,0.095250994,0.1532599,0.10724314,0.17320225,0.12774521
3,0.107812926,0.13733913,0.122134745,0.1441108,0.117422655,0.10837423,0.10501298,0.15779248
4,0.18833463,0.096618235,0.13848527,0.054459594,0.13634333,0.12719303,0.15444127,0.10412468
5,0.12742715,0.067887105,0.13018808,0.12431071,0.10375005,0.1085893,0.22555484,0.112292804
6,0.1277778,0.09320641,0.18683909,0.19286,0.08611136,0.082385674,0.11095491,0.11986482
7,0.045063578,0.11721648,0.11445408,0.1791062,0.094623245,0.12619546,0.14406222,0.17927876
8,0.109631464,0.10592249,0.06157564,0.08616196,0.20583566,0.1777912,0.11286475,0.14021687
9,0.12504527,0.0877815,0.08052667,0.0817479,0.19410859,0.13667977,0.13644469,0.1576656
10,0.09306551,0.11821222,0.059729107,0.094493404,0.16078538,0.16968314,0.08767159,0.21635963
11,0.09138641,0.14021371,0.11524396,0.12725371,0.12472794,0.15720038,0.111661434,0.1323124
12,0.13466975,0.06759116,0.06899355,0.1001291,0.23451161,0.1202609,0.121770054,0.15207388
13,0.12689792,0.0857502,0.10567603,0.09787547,0.20374835,0.10851835,0.12271905,0.14881465
14,0.057918377,0.079673894,0.15167138,0.08553803,0.080407634,0.13804913,0.2592116,0.14752997
15,0.10762586,0.15960777,0.10447235,0.13218817,0.10383897,0.1330247,0.10950671,0.14973542
16,0.11644346,0.09020162,0.13456735,0.10238484,0.13497502,0.12578882,0.1512223,0.14441657
17,0.12530947,0.10521789,0.1578241,0.12683834,0.11180117,0.11417708,0.1097814,0.14905056
18,0.0922463,0.08984827,0.13980556,0.101853676,0.13247116,0.13691618,0.1374736,0.16938525
19,0.081311226,0.12199285,0.09623238,0.080138385,0.18876657,0.13178183,0.16850658,0.13127016
20,0.09801141,0.10856061,0.12527986,0.149808,0.124948665,0.15252133,0.08840017,0.15246992
21,0.103310004,0.12028682,0.102664,0.088493705,0.13939077,0.14406712,0.15542802,0.14635961
22,0.06920412,0.120345,0.074779764,0.21058269,0.09105521,0.16792288,0.11179484,0.15431547
23,0.0757941,0.18818356,0.111349255,0.0709014,0.15784258,0.20183033,0.11262033,0.08147843
24,0.092506774,0.07528329,0.13455293,0.0953566,0.12335987,0.14054187,0.18190089,0.15649784
25,0.1534428,0.10337022,0.12539887,0.14261238,0.114101164,0.118554235,0.13066103,0.111859314
26,0.118051775,0.057129208,0.108656295,0.1424164,0.12882997,0.11644499,0.14052713,0.18794426
27,0.07403244,0.10529383,0.1199207,0.08781324,0.14901362,0.17804135,0.16906328,0.11682156
28,0.09765225,0.063087255,0.12695621,0.1117343,0.13689196,0.104288526,0.19560552,0.16378403
29,0.18620476,0.1400429,0.11953803,0.09843932,0.12981756,0.14692879,0.097531505,0.08149718
30,0.0835042,0.1016103,0.07171712,0.10701786,0.16623694,0.17705354,0.102062345,0.19079772
31,0.08057153,0.06473603,0.1339334,0.15305212,0.12251901,0.12192727,0.16826883,0.15499185
32,0.14600906,0.15866262,0.17387852,0.053496897,0.10226909,0.12551188,0.14485599,0.09531587
33,0.15410596,0.06722363,0.13481238,0.089314565,0.1437462,0.08204664,0.17127986,0.15747069
34,0.05865846,0.087840885,0.13290611,0.05751141,0.14868097,0.14170492,0.24519691,0.12750036
35,0.06677165,0.08226544,0.112269595,0.2141364,0.07802098,0.123490214,0.14408451,0.17896122
36,0.13345967,0.12247836,0.16060765,0.0747894,0.12976538,0.13958152,0.13502795,0.10429011
37,0.17372337,0.14566574,0.13183351,0.07406035,0.13149773,0.14819199,0.11589538,0.07913192
38,0.14231803,0.1269501,0.10101355,0.09162753,0.15006158,0.14374869,0.14619641,0.09808414
39,0.13036078,0.12161549,0.13811302,0.12702787,0.13466042,0.06604088,0.10374829,0.17843327
40,0.13412936,0.07923244,0.14305182,0.09956998,0.17506672,0.10420755,0.13735706,0.12738504
