,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,dew_top_1,dew_top_3,dew_top_5,dew_top_None
roc_auc,0.74142,0.74184,0.73436,0.73192,0.7143999999999999,0.71304,0.71388,0.70068,0.7537,0.67404,0.70068,0.7063200000000001,0.73112,0.74656
accuracy,0.6724399999999999,0.6750200000000001,0.6663600000000001,0.65418,0.6446,0.65066,0.6472,0.63416,0.6811,0.6316200000000001,0.63416,0.6393599999999999,0.66372,0.67676
weighted_f1_score,0.672445378312025,0.6748701827355432,0.6666391020151841,0.6539101720968313,0.6443660550918119,0.649390587771568,0.6462222467484362,0.6339373464084727,0.6812808388340317,0.6313296245980927,0.6339373464084727,0.6391536167970513,0.6639095131614228,0.6766959310835114
