,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,dew_top_1,dew_top_3,dew_top_None
86,0.0016080737113952637,0.0031906962394714355,0.003389298915863037,0.0015284419059753418,0.005384820337502538,0.02073316283034954,0.03117754243158888,0.10454988856258995,0.021445240616841943,0.021550357341766357,0.0031906962394714355,0.002702806145659764,0.02132896015583219
87,0.0007696151733398438,0.0010364055633544922,0.0005720257759094238,0.0010637640953063965,0.0013848203375025347,0.003858766695083893,0.002682085151218816,0.02501282357232737,0.00454753829550536,0.005257129669189453,0.0010364055633544922,0.0008907220561109597,0.004531147603220598
88,0.0013275146484375,0.001251816749572754,0.000619053840637207,0.001494288444519043,0.0,0.0006611947104423477,0.0002272727272726316,0.0,0.0006976426401101854,0.005633533000946045,0.0,0.0002819309477822829,0.0006979241485787213
89,0.0013627409934997559,0.005893349647521973,0.0015546679496765137,0.0378727912902832,0.08200768434690231,0.06704219452045534,0.12307752818025419,0.25263380655703205,0.07143059543570318,0.010294616222381592,0.0378727912902832,0.013668730291820808,0.06803747630299672
90,0.02807307243347168,0.01877617835998535,0.017681598663330078,0.003364861011505127,0.04820958524121477,0.024715244097852862,0.004550217019350655,0.010280538313726328,0.019456411892554648,0.0035271048545837402,0.004550217019350655,0.010876922104595899,0.019251556039709627
91,0.002579927444458008,0.005949914455413818,0.003852367401123047,0.03725564479827881,0.141338119129511,0.23835005574136003,0.18062083373739923,0.2520161157192742,0.10774537230335224,0.010294616222381592,0.03725564479827881,0.014623068047246335,0.10172905812322686
92,0.0010797977447509766,0.0011224150657653809,0.0008018612861633301,0.0019233226776123047,0.040000000000000036,0.02232786137710907,0.021560606060605947,0.003478260869565153,0.011536765635196566,0.005633533000946045,0.0008018612861633301,0.0010013627643097323,0.011452199119479478
93,0.04528695344924927,0.015582680702209473,0.02342665195465088,0.1306544542312622,0.09907703405648971,0.023599387185704424,0.03200989002926746,0.08697884620759011,0.0570769872270529,0.013922691345214844,0.015582680702209473,0.05642684265720277,0.05665247958205133
94,0.04277670383453369,0.053377509117126465,0.039408743381500244,0.1133725643157959,0.11987703405648975,0.09739208904905838,0.08843749589615413,0.20082893312024308,0.09443388409636266,0.016262948513031006,0.04277670383453369,0.07227802342808198,0.0926200332268603
95,0.0019785165786743164,0.006062030792236328,0.0010863542556762695,0.004345297813415527,0.044979497480005626,0.06891049717508535,0.05621179223398287,0.1081131163387643,0.036460887833480116,0.01711142063140869,0.006062030792236328,0.004130092914063965,0.03442104243682398
96,0.0018497705459594727,0.003307342529296875,0.005882620811462402,0.0020015835762023926,0.0013848203375025347,0.0021921000284171877,0.00434875181788541,0.00300781104099912,0.002996850085965619,0.004155337810516357,0.0018497705459594727,0.002385254314464902,0.0029961782870990827
97,0.002907395362854004,0.0007728338241577148,0.000619053840637207,0.0011029243469238281,0.020000000000000018,0.0006611947104423477,0.02022727272727265,0.0,0.005786334351535971,0.005633533000946045,0.000619053840637207,0.0008316268700845342,0.005596447947155303
98,0.001735985279083252,0.0017448067665100098,0.0007371306419372559,0.0057541728019714355,0.0057463686990508744,0.007122172073259159,0.022260244119621686,0.05448196635646563,0.012447855842237399,0.004155337810516357,0.001735985279083252,0.002738393534123418,0.012034638181996016
99,0.010095417499542236,0.012205839157104492,0.006135165691375732,0.004799962043762207,0.13882472166393967,0.20893519600584798,0.20034050233347234,0.3351126578475675,0.11455618278032653,0.007117629051208496,0.004799962043762207,0.007005865662799593,0.10494372200800683
100,0.0009045600891113281,0.0011436939239501953,0.0012557506561279297,0.0024900436401367188,0.0,0.0006611947104423477,0.0002272727272726316,0.0,0.0008353144683801439,0.005633533000946045,0.0,0.0002961260190754711,0.0008347320982393658
101,0.0008997917175292969,0.0008663535118103027,0.000619053840637207,0.0018020272254943848,0.0,0.0006611947104423477,0.0002272727272726316,0.0,0.0006344617166482713,0.005633533000946045,0.0,0.0002961260190754711,0.0006340912545270694
102,0.002658069133758545,0.0010671019554138184,0.0017610788345336914,0.006551802158355713,0.18888787878787883,0.05818500423425188,0.1133041958041957,0.07900000000000007,0.056426891363548504,0.005633533000946045,0.006551802158355713,0.0031329681972653844,0.05140617983856077
103,0.004278659820556641,0.0025104284286499023,0.0008764863014221191,0.0027219653129577637,0.0,0.0006611947104423477,0.0002272727272726316,0.0,0.0014095009126626756,0.005633533000946045,0.0027219653129577637,0.0020362372670117423,0.0014195447724540955
104,0.2079716920852661,0.06825035810470581,0.14786499738693237,0.09347862005233765,0.22325925925925927,0.3233179960136481,0.44882015167930656,0.3557969900131752,0.23359500807432887,0.027226388454437256,0.14786499738693237,0.14996876149434435,0.2296219893348903
105,0.01925867795944214,0.5266280174255371,0.051119863986968994,0.08455556631088257,0.15601679336653762,0.1428574198176602,0.08911878144461427,0.21042740648846392,0.15999781585001338,0.02780061960220337,0.051119863986968994,0.21731128291481516,0.15950217823199586
106,0.22080755233764648,0.19370925426483154,0.026765167713165283,0.08976072072982788,0.11122845033993467,0.14163704217010875,0.24244913097089604,0.09851304237693981,0.1406087951129188,0.004944205284118652,0.026765167713165283,0.15838751652273952,0.14064821783004922
107,0.0021892189979553223,0.0020299553871154785,0.0010200142860412598,0.0013564229011535645,0.003634444397653036,0.024807383295874508,0.0038401849533863386,0.04364390167708976,0.010315190737033575,0.004155337810516357,0.0020299553871154785,0.0018591055115759758,0.01028489696452084
108,0.45140135288238525,0.6924806833267212,0.5402361750602722,0.634827196598053,0.6127849009222007,0.5826043281653747,0.26533873189381907,0.5326579104301599,0.5390414099098733,0.4033396244049072,0.6924806833267212,0.5847399245327358,0.546183948430065
