,Estim(XGBRegressor)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBRegressor)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBRegressor)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBRegressor)_Imputer(KNNImputer),Estim(RandomForestRegressor)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestRegressor)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestRegressor)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestRegressor)_Imputer(KNNImputer),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingRegressor'>,dew_top_1,dew_top_3,dew_top_None
15,2.5116701126098633,3.814497947692871,2.1284332275390625,2.1090030670166016,0.9522593525207803,0.2953056218139345,0.991476548581538,0.15276550003316025,1.6194264222259775,0.8754310607910156,2.5116701126098633,2.1503265519108528,1.750110370007686
16,8.000611305236816,4.076388359069824,4.045388221740723,4.613046646118164,5.366842336211725,5.558992105646157,5.621322760082451,5.947826442411921,5.403802272064723,8.594559669494629,5.558992105646157,5.535861774873069,5.366101566358502
17,1.908534049987793,2.1562442779541016,0.382232666015625,0.6822795867919922,0.8275895695138971,0.833771855469772,0.7411710322316427,0.4940050661102813,0.3555251038144416,3.4965944290161133,2.1562442779541016,0.8269851038599434,0.7039561231786351
18,3.1296281814575195,4.305213928222656,0.1864175796508789,1.4826726913452148,0.26514488471751463,1.459427014267776,1.0229348682118804,1.760402230549598,1.7014801723028796,2.9542579650878906,1.4826726913452148,2.4824510687454477,1.7842062545369615
19,4.98575496673584,5.474554061889648,6.338401794433594,6.311101913452148,5.425365937755027,5.063106933664217,5.636346942882637,4.677188084219326,5.488977579379055,10.920160293579102,6.311101913452148,5.56892377482443,5.535396473561196
20,3.159891128540039,2.3842391967773438,5.673131465911865,0.4097452163696289,0.40807517476972244,0.5188506119523382,0.32143367965302794,1.1107420510010382,1.7482635656218761,0.06391048431396484,1.1107420510010382,0.6551073325839987,1.5710199783225498
21,4.984101295471191,6.047544479370117,2.1185827255249023,1.7406816482543945,4.8468324736787025,3.893282166271872,4.334700733907587,4.296110785509235,4.032729538498501,3.0598583221435547,4.334700733907587,3.645657935502559,3.9951299887673617
22,0.20251846313476562,1.3423395156860352,0.29198646545410156,0.5208835601806641,2.1327074732089066,2.3028919159497505,2.5713437630144593,2.6092802156286794,1.49674392153217,1.7345304489135742,0.20251846313476562,1.3675809839415543,1.3707055824883376
23,5.272001266479492,4.381622314453125,2.7114696502685547,2.375119209289551,1.2258857698756156,0.19305534511598488,1.4969609858641366,1.9794258959871787,2.4544425546667057,7.523494720458984,1.4969609858641366,1.0176026998313201,2.184341503964543
24,1.791285514831543,1.7042064666748047,1.0303688049316406,0.2068934440612793,1.9672203388931848,2.8159244985990792,1.619118950020276,1.8732824306587261,1.5743141950684976,2.0126943588256836,1.9672203388931848,2.0589449549191094,1.7893750545125915
