,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,<class 'new_models.DEWClassifier'>_top_1,<class 'new_models.DEWClassifier'>_top_3,<class 'new_models.DEWClassifier'>_top_5,<class 'new_models.DEWClassifier'>_top_None
ppv,0.79208,0.77336,0.80352,0.77674,0.7876000000000001,0.8291000000000001,0.79508,0.8009999999999999,0.7491000000000001,0.80974,0.7845,0.7825799999999999,0.78962,0.78296,0.79362
npv,0.8029,0.7867200000000001,0.7972,0.8119200000000001,0.79588,0.82674,0.78948,0.81904,0.7821,0.8147,0.8281600000000001,0.8206199999999999,0.8036200000000001,0.81136,0.8163599999999999
gmean_sens_spec,0.7911400000000001,0.77386,0.78836,0.78842,0.78782,0.8207800000000001,0.78078,0.8060799999999999,0.7617,0.8044,0.80358,0.79566,0.7912199999999999,0.7921199999999999,0.79864
gmean_all_metrics,0.79402,0.7767000000000001,0.79382,0.7909400000000001,0.7897000000000001,0.82412,0.78616,0.8077799999999999,0.76338,0.80794,0.80458,0.79818,0.7937000000000001,0.79428,0.80138
roc_auc,0.87874,0.8674799999999999,0.8825799999999999,0.88146,0.8909600000000001,0.8848600000000001,0.88818,0.8985799999999999,0.8642200000000001,0.8958,0.8048400000000001,0.87142,0.88996,0.88726,0.89578
accuracy,0.79514,0.7783599999999999,0.7951,0.79166,0.79176,0.8254400000000001,0.7882200000000001,0.8086399999999999,0.7649800000000001,0.80874,0.8051600000000001,0.7986600000000001,0.7951,0.7950999999999999,0.80188
sensitivity,0.74602,0.72326,0.72382,0.76032,0.73094,0.7164200000000001,0.73094,0.73094,0.7381200000000001,0.7529,0.76032,0.73836,0.7238,0.75344,0.75316
specificity,0.8,0.8125,0.8187599999999999,0.8125,0.85626,0.84376,0.8687400000000001,0.8687400000000001,0.84378,0.85,0.8125,0.83124,0.85,0.85002,0.84376
ppv,0.76234,0.7689199999999999,0.77662,0.7806599999999999,0.81152,0.79714,0.8263,0.8278399999999999,0.80098,0.8149799999999999,0.7806599999999999,0.78972,0.8062000000000001,0.8115,0.80482
npv,0.7899,0.77786,0.7801600000000001,0.8012600000000001,0.7906,0.77918,0.7938400000000001,0.7920400000000001,0.79206,0.80328,0.8012600000000001,0.79132,0.78392,0.8056599999999999,0.8033000000000001
gmean_sens_spec,0.7708,0.76466,0.7674,0.7840400000000001,0.78986,0.77584,0.79532,0.7956999999999999,0.7883399999999999,0.7979399999999999,0.7840400000000001,0.7816799999999999,0.7831000000000001,0.79834,0.79558
gmean_all_metrics,0.77314,0.7687600000000001,0.7725,0.78708,0.7952800000000001,0.78176,0.80238,0.8024799999999999,0.7923,0.8032,0.78708,0.78582,0.7888200000000001,0.80314,0.79958
roc_auc,0.8775999999999999,0.8705999999999999,0.8795400000000001,0.8632,0.89032,0.88918,0.8913,0.88606,0.87808,0.8891600000000001,0.78642,0.8702,0.86786,0.86988,0.8843399999999999
accuracy,0.775,0.7713599999999999,0.7748000000000002,0.7883199999999999,0.79832,0.78492,0.80504,0.8049799999999999,0.79488,0.8051600000000001,0.7883199999999999,0.78814,0.79166,0.8051999999999999,0.8017999999999998
sensitivity,0.7447199999999999,0.73704,0.73758,0.72302,0.7531800000000001,0.73042,0.74498,0.75264,0.70872,0.723,0.7158599999999999,0.7158800000000001,0.723,0.7301599999999999,0.7303999999999999
specificity,0.80626,0.8375,0.8187599999999999,0.8062400000000001,0.8625,0.86248,0.8812599999999999,0.8625,0.7937799999999999,0.8375199999999999,0.79998,0.8312200000000001,0.85626,0.83124,0.8375
ppv,0.7806599999999999,0.80358,0.7821,0.7643,0.82774,0.8219199999999999,0.8492,0.83088,0.76712,0.8009999999999999,0.75816,0.78592,0.8147599999999999,0.79404,0.7995399999999999
npv,0.78554,0.7887599999999999,0.78594,0.77332,0.80356,0.79146,0.80306,0.8063,0.7605600000000001,0.7806599999999999,0.7679,0.77414,0.7857200000000001,0.7842200000000001,0.78594
gmean_sens_spec,0.7723000000000001,0.7837399999999999,0.7755599999999999,0.76266,0.8050599999999999,0.7920999999999999,0.80874,0.8032199999999999,0.74552,0.7756999999999998,0.7551399999999999,0.7706999999999999,0.7850999999999999,0.7771999999999999,0.7801199999999999
gmean_all_metrics,0.7771600000000001,0.78958,0.7794800000000001,0.76556,0.8101,0.79904,0.8168200000000001,0.8102600000000001,0.7537200000000001,0.78276,0.75884,0.7752199999999999,0.79222,0.78272,0.786
roc_auc,0.8723000000000001,0.85638,0.8525,0.83988,0.8835200000000001,0.8771599999999999,0.88676,0.8870800000000001,0.84124,0.8776200000000001,0.76018,0.83518,0.8447600000000002,0.84856,0.87084
accuracy,0.7782600000000001,0.79146,0.78142,0.76798,0.81206,0.8016400000000001,0.8185400000000002,0.8118000000000001,0.7546999999999999,0.78484,0.7613200000000001,0.7780199999999999,0.7948200000000001,0.7847600000000001,0.7881400000000001
sensitivity,0.7598,0.7600800000000001,0.7600399999999999,0.75236,0.77408,0.782,0.7669400000000001,0.74522,0.71612,0.76718,0.75976,0.73784,0.7669400000000001,0.7595400000000001,0.75212
specificity,0.8,0.8,0.8062400000000001,0.7875,0.85626,0.88124,0.8625,0.8625,0.80002,0.81874,0.79376,0.8187599999999999,0.8125,0.7937200000000001,0.79374
ppv,0.7712,0.77326,0.77816,0.7580600000000001,0.82656,0.85328,0.83056,0.82576,0.75556,0.788,0.7643599999999999,0.78202,0.78332,0.7658400000000001,0.7628600000000001
npv,0.79506,0.7936400000000001,0.7964800000000001,0.7893,0.8165800000000001,0.8277600000000002,0.8136599999999999,0.80112,0.768,0.80558,0.7962800000000001,0.7843399999999999,0.80386,0.79506,0.7899799999999999
gmean_sens_spec,0.77832,0.7785199999999999,0.78068,0.76768,0.8129800000000001,0.82814,0.81196,0.7996000000000001,0.7559,0.791,0.7745799999999999,0.77622,0.7879400000000001,0.77442,0.77112
gmean_all_metrics,0.7804,0.78064,0.78366,0.77026,0.81698,0.8339399999999999,0.81676,0.80616,0.7587,0.7936,0.7770400000000001,0.77952,0.79042,0.77704,0.77342
roc_auc,0.86022,0.85828,0.85762,0.8455199999999999,0.89366,0.8914,0.8846,0.88566,0.8523400000000001,0.8789200000000001,0.77678,0.8441199999999999,0.85168,0.85762,0.8745200000000001
accuracy,0.78154,0.7816600000000001,0.7851,0.77142,0.8184799999999999,0.8354800000000001,0.8185400000000002,0.8085000000000001,0.76136,0.79506,0.77814,0.78154,0.7916000000000001,0.77816,0.77476
sensitivity,0.81774,0.75238,0.74522,0.77458,0.77436,0.74472,0.76666,0.77406,0.78176,0.76718,0.76668,0.7669400000000001,0.75978,0.7669400000000001,0.7526400000000001
specificity,0.825,0.8062400000000001,0.80626,0.80626,0.85624,0.86876,0.8812599999999999,0.8749800000000001,0.79998,0.83124,0.8125,0.81874,0.8125,0.8125,0.81874
ppv,0.8026,0.77508,0.7724,0.77826,0.82452,0.83674,0.8532,0.8465,0.7739,0.8042800000000001,0.7844599999999999,0.79014,0.78152,0.78404,0.7869999999999999
npv,0.84444,0.79542,0.79172,0.8108400000000001,0.81776,0.80166,0.8164200000000001,0.8193999999999999,0.8119800000000001,0.8104800000000001,0.80618,0.8062400000000001,0.8031400000000002,0.8054400000000002,0.7998399999999999
gmean_sens_spec,0.81986,0.77574,0.7714599999999999,0.78738,0.8129200000000001,0.80206,0.82072,0.82204,0.7890599999999999,0.79496,0.7863,0.78986,0.78216,0.78676,0.78104
gmean_all_metrics,0.82128,0.78004,0.77626,0.79054,0.8168200000000001,0.8099999999999999,0.82724,0.8271799999999999,0.7906599999999999,0.8006,0.79032,0.7936399999999999,0.78674,0.7903399999999999,0.78668
roc_auc,0.914,0.8877400000000002,0.8933199999999999,0.90022,0.9081400000000001,0.90582,0.9028200000000002,0.9093,0.8924799999999999,0.90868,0.78956,0.8739800000000001,0.8844200000000001,0.8868600000000001,0.9098599999999999
accuracy,0.8217800000000001,0.78154,0.77816,0.7917,0.8185800000000001,0.8117599999999999,0.8286200000000001,0.82866,0.7917,0.8017999999999998,0.79158,0.7950199999999998,0.7883199999999999,0.7916399999999999,0.78836
