,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,dew_top_1,dew_top_3,dew_top_None
57,0.15859556198120117,0.4484671950340271,0.10624980926513672,0.026237547397613525,0.5456487868566031,0.4054149397340647,0.3186875745739013,0.4612788843576543,0.3088225374000253,0.026127874851226807,0.10624980926513672,0.19607096949413005,0.29976649755305984
58,0.3123553395271301,0.062029480934143066,0.13299411535263062,0.1785949468612671,0.5478494643997041,0.41206301294013126,0.2863958214575374,0.5025856946456004,0.304358484514768,0.7104720175266266,0.13299411535263062,0.16799284602683962,0.28807659600198554
59,0.4479256272315979,0.6079383194446564,0.5293495655059814,0.7544618099927902,0.5957910989968509,0.6016733579736671,0.5731533909073547,0.6099582649470191,0.5900314293749898,0.8984168246388435,0.6079383194446564,0.6273335732005023,0.589837490489554
60,0.00944209098815918,0.07003498077392578,0.002776503562927246,0.16184091567993164,0.2446760083177345,0.25029167753041903,0.11566879482457837,0.28921100149135937,0.14299274664612938,0.0840529203414917,0.00944209098815918,0.026677579298777232,0.13174878776022636
61,0.002101898193359375,0.005068361759185791,0.001567542552947998,0.0048370361328125,0.12575569895270133,0.22129169021099382,0.13198020401284882,0.32282236411537635,0.10192809949127823,0.024948716163635254,0.001567542552947998,0.045120312685479114,0.11097372913902515
62,0.002796173095703125,0.0019930005073547363,0.005518555641174316,0.001149892807006836,0.22600761506367661,0.24242940002422575,0.26261826827661494,0.19855614965773072,0.11763363188418585,0.024948716163635254,0.005518555641174316,0.0031828460161840155,0.10908466640983217
63,0.04339718818664551,0.04823803901672363,0.31463623046875,0.16201138496398926,0.34974893841446264,0.3633092709344684,0.4234037263703825,0.36082094276959853,0.25819571514062756,0.07064956426620483,0.04823803901672363,0.08407732276165092,0.24121717527377584
64,0.3988702893257141,0.6940290629863739,0.39455848932266235,0.08432447910308838,0.5745404696740988,0.6503469551220297,0.6452596739209536,0.49405688305240536,0.4919982878134157,0.11752331256866455,0.6940290629863739,0.5043160338097854,0.49159597304055447
65,0.32437193393707275,0.1733640432357788,0.3229677677154541,0.3545585870742798,0.6499369048781796,0.5742734061867736,0.6707072478879075,0.564004990677016,0.4542731101990578,0.5269877016544342,0.3545585870742798,0.33416179526546586,0.43988484629984814
66,0.49292421340942383,0.08842188119888306,0.008296489715576172,0.4304439425468445,0.4126050932561346,0.3581706817768401,0.1284810564467317,0.45958808612017976,0.2973664305588267,0.39729416370391846,0.4304439425468445,0.1775497078601429,0.28969874635122284
67,0.8335119783878326,0.13847851753234863,0.020903825759887695,0.969513202086091,0.35360514230594053,0.32228986667330806,0.11698473989778335,0.6784166991500109,0.42921299647415034,0.971902159973979,0.13847851753234863,0.6302917899538683,0.4349231350907985
68,0.26327794790267944,0.4374213218688965,0.3225656747817993,0.2374340295791626,0.7184915997715683,0.6156675096075016,0.6882088697021718,0.5340671763357225,0.47714176619368776,0.03631633520126343,0.3225656747817993,0.33197522280934066,0.4570582955952909
69,0.0071256160736083984,0.0015368461608886719,0.000838160514831543,0.003342866897583008,0.1740941487151778,0.15548689078758982,0.05713649069502291,0.3633799630236031,0.09536762285853817,0.04035139083862305,0.0015368461608886719,0.003895272658461124,0.08903688266612231
70,0.1891796588897705,0.6218586266040802,0.5495418608188629,0.07768756151199341,0.47041086387211073,0.4964562156929264,0.48229364034238176,0.41550974445399946,0.41286727152326563,0.06529104709625244,0.07768756151199341,0.29374455048794523,0.403332294419783
71,0.026273369789123535,0.318668007850647,0.10272073745727539,0.08740431070327759,0.5981021912626103,0.5876451019737898,0.6269182518249199,0.5343597075843529,0.36026145980574953,0.01492244005203247,0.10272073745727539,0.07265128898013451,0.3283908616504474
72,0.0020178556442260742,0.0011149048805236816,0.0009796619415283203,0.008290350437164307,0.08820113356954518,0.19094919666084464,0.01099928025191188,0.09133776701792429,0.049236268800458505,0.024948716163635254,0.0009796619415283203,0.003454590236882993,0.04719774853882619
73,0.060671210289001465,0.11689239740371704,0.08578693866729736,0.09533554315567017,0.4322466853461795,0.5050035031138447,0.5793607692888941,0.45315900965535394,0.2910570071149947,0.34474802017211914,0.08578693866729736,0.08798640080918041,0.28084088667251206
74,0.7248544096946716,0.6186225414276123,0.8996773362159729,0.5880422592163086,0.6159888404101015,0.6092236028677314,0.6555920604250159,0.5282117753574145,0.6550266032018536,0.39719855785369873,0.8996773362159729,0.7289735225352777,0.6628237667871035
75,0.9662836864590645,0.8724927455186844,0.9021636247634888,0.9379350729286671,0.6500743701647173,0.683398770847627,0.6287503972307926,0.6599822184190476,0.7876351107915112,0.7391342520713806,0.8724927455186844,0.9037455042998617,0.805966123729518
76,0.46821504831314087,0.1839524507522583,0.24836128950119019,0.6348553597927094,0.48771578562079254,0.5411497904276448,0.43279801044964183,0.4999716141156626,0.43712741862163007,0.487540066242218,0.6348553597927094,0.4298128914368462,0.4339550153730962
77,0.655193954706192,0.8976857513189316,0.6918295621871948,0.6634576320648193,0.6876314714508591,0.6391838370794533,0.6595757739165575,0.7106574503431563,0.7006519291333955,0.5431273877620697,0.6634576320648193,0.6703745591858521,0.7028825780301163
78,0.0023146867752075195,0.0016846656799316406,0.0029451847076416016,0.0121079683303833,0.12957517400414176,0.21321887359939384,0.019680064745196457,0.2919859644098536,0.0841890727814687,0.007359564304351807,0.0029451847076416016,0.00231888059240859,0.0781241285256663
79,0.0937010645866394,0.10371905565261841,0.02763831615447998,0.8138182759284973,0.208244046969298,0.3840480173826557,0.1374495519164074,0.6083847871359107,0.29712538946581335,0.07810485363006592,0.0937010645866394,0.30382116053372066,0.29122208575513864
