,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,dew_top_1,dew_top_3,dew_top_None
roc_auc,0.7127800000000001,0.71356,0.71258,0.7132400000000001,0.67444,0.6766,0.67662,0.67482,0.71242,0.7115400000000001,0.7066800000000001,0.70816,0.7125999999999999
accuracy,0.65506,0.6561,0.6551199999999999,0.6555000000000001,0.62876,0.62984,0.62946,0.62944,0.65204,0.65542,0.6509600000000001,0.65248,0.65262
f1_score,0.6023003868397496,0.6029423041977945,0.6015454904798252,0.6027791124694815,0.5065647591881779,0.5037428817851195,0.5055980915626263,0.5108698066144655,0.5724397372255483,0.611080597773849,0.5865499093566899,0.5869601278521286,0.5749678127935751
