,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,dew_top_1,dew_top_3,dew_top_None
0,0.031857192516326904,0.03109288215637207,0.029055297374725342,0.014567553997039795,0.1253333333333333,0.06000000000000005,0.08032258064516129,0.040750915750915606,0.05162246947173432,0.004681527614593506,0.014567553997039795,0.025836849291378527,0.051516282867988705
1,0.009297847747802734,0.016180574893951416,0.016413509845733643,0.017680227756500244,0.12630884748869065,0.08330213903743311,0.031053960376540846,0.1389965297860034,0.054904204616581964,0.004681527614593506,0.016413509845733643,0.014517508175106997,0.05123029138087576
2,0.013459861278533936,0.025190651416778564,0.0186307430267334,0.004730165004730225,0.1172122302158275,0.15337903582485612,0.08206898656898653,0.16414804493751856,0.07235246478424562,0.004681527614593506,0.004730165004730225,0.014380431387227333,0.06982114247247195
3,0.0011302828788757324,0.0022484660148620605,0.0016414523124694824,0.0012001991271972656,0.0,0.0,0.00032258064516133,0.0007509157509155706,0.0009117370911851941,0.004681527614593506,0.0012001991271972656,0.0016956969695289814,0.0009450807503414982
4,0.0378304123878479,0.035584092140197754,0.17224854230880737,0.021098315715789795,0.1233333333333334,0.08878787878787875,0.08032258064516129,0.14075091575091558,0.08749450888374144,0.004681527614593506,0.021098315715789795,0.0756670292674908,0.08681207806656444
5,0.019980311393737793,0.2189617156982422,0.032655417919158936,0.07321357727050781,0.3019393882688324,0.32519102792632193,0.3542758577270828,0.4047435897435897,0.21637011074343415,0.09121263027191162,0.019980311393737793,0.09040326210433491,0.20192677335801767
6,0.0025582313537597656,0.007590770721435547,0.006953418254852295,0.001294255256652832,0.005771940902523642,0.011716665639741608,0.007017479004138183,0.007873340380216587,0.006347012689165044,0.0068015456199646,0.001294255256652832,0.005278083036184711,0.006343149303538853
7,0.0021700263023376465,0.0005846023559570312,0.0008860230445861816,0.0023564696311950684,0.006447213990905087,0.004804532481938795,0.006570908031251599,0.005848063425933692,0.0037084799080131514,0.0068015456199646,0.0023564696311950684,0.0012758374022840968,0.0037027627740344737
8,0.0028768181800842285,0.004298150539398193,0.0022846460342407227,0.001455545425415039,0.11584615384615393,0.1599510515567686,0.22229958806289618,0.11440543666859437,0.0779271737891939,0.004681527614593506,0.004298150539398193,0.0031792911872479124,0.07207211287933635
9,0.003476858139038086,0.0024118423461914062,0.0030808448791503906,0.001229703426361084,0.0268571428571428,0.05975308641975319,0.026989247311827835,0.0602380952380952,0.023004602577195055,0.004681527614593506,0.0030808448791503906,0.00224090323886017,0.02264288626529931
10,0.0036538243293762207,0.0013164877891540527,0.004025876522064209,0.003008604049682617,0.003726708074534124,0.0,0.00032258064516133,0.02075091575091559,0.004600624645111018,0.004681527614593506,0.003008604049682617,0.00278906044360383,0.004592586053928649
