,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,<class 'new_models.DEWClassifier'>_top_1,<class 'new_models.DEWClassifier'>_top_3,<class 'new_models.DEWClassifier'>_top_5,<class 'new_models.DEWClassifier'>_top_None
sensitivity,0.67804,0.69338,0.73704,0.73756,0.72248,0.72248,0.72936,0.7299,0.73676,0.76612,0.73016,0.69366,0.7156,0.7301599999999999,0.7372799999999999
specificity,0.79376,0.7874800000000001,0.78122,0.75624,0.825,0.79376,0.8062400000000001,0.8062400000000001,0.75,0.79376,0.7437199999999999,0.78124,0.79374,0.79998,0.8125
ppv,0.75012,0.7460799999999999,0.76,0.7248600000000001,0.79832,0.7623200000000001,0.77106,0.78286,0.72998,0.77546,0.71424,0.74322,0.7606200000000001,0.76856,0.77928
npv,0.74398,0.7500600000000001,0.77308,0.7702,0.7780400000000001,0.76868,0.78126,0.7749,0.76724,0.798,0.76128,0.7451999999999999,0.7620199999999999,0.77256,0.7817999999999999
gmean_sens_spec,0.7301599999999999,0.73666,0.75606,0.74624,0.7678200000000001,0.75484,0.76334,0.76432,0.73938,0.7767999999999999,0.7362,0.7347199999999999,0.75232,0.7631399999999999,0.77296
gmean_all_metrics,0.73804,0.7419399999999999,0.76072,0.74662,0.7769600000000001,0.7596999999999999,0.7692599999999999,0.77082,0.7434399999999999,0.7811400000000001,0.73668,0.73914,0.75644,0.76658,0.77646
roc_auc,0.8468199999999999,0.8398199999999999,0.83274,0.8267,0.87476,0.85884,0.8600199999999999,0.86452,0.83866,0.86676,0.7369600000000001,0.81548,0.8362599999999999,0.84396,0.85746
accuracy,0.7409800000000001,0.7444000000000001,0.76142,0.7478,0.7782,0.7613200000000001,0.7712399999999999,0.7715400000000001,0.7444599999999999,0.78154,0.73774,0.7412000000000001,0.7579800000000001,0.7681,0.7781
