,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,<class 'new_models.DEWClassifier'>_top_1,<class 'new_models.DEWClassifier'>_top_3,<class 'new_models.DEWClassifier'>_top_5,<class 'new_models.DEWClassifier'>_top_None
3,0.011546790599822998,0.013771653175354004,0.007452189922332764,0.0056133270263671875,0.1674144369268059,0.16710720706476412,0.11672509265543907,0.233031782782391,0.048587679862976074,0.08569446222402813,0.010401725769042969,0.233031782782391,0.136609513083346,0.1137525300490303,0.09035995616993375
6,0.5406346321105957,0.9790027141571045,0.19401128590106964,0.10525108128786087,0.5919451127215118,0.7727168268241583,0.4180276743577976,0.4576228514259189,0.37344539165496826,0.4925175078267762,0.00945619773119688,0.4576228514259189,0.5461765963618038,0.5944969386262339,0.55167221178376
7,0.007750868797302246,0.007389247417449951,0.009021401405334473,0.026789546012878418,0.20451150370182591,0.2510581076881363,0.40289188436830226,0.1697073546729151,0.03992736339569092,0.12433858638442619,0.010401725769042969,0.03992736339569092,0.11541081203737669,0.14797298983651497,0.10380204617237077
10,0.8812203332781792,0.9606503248214722,0.05484926700592041,0.6628578901290894,0.6225730933965726,0.6303095356729791,0.7489119807534095,0.505391421898157,0.4783402681350708,0.6161226794545389,0.9905438022688031,0.6615760624408722,0.587573288051382,0.5500896991997803,0.5753120531676107
11,0.9650327116250992,0.934017226099968,0.920451246201992,0.9747814871370792,0.6939949333090796,0.6124686796556724,0.7170695843835828,0.6612828517543989,0.9829831570386887,0.8291202085783956,0.9905438022688031,0.4044417142868042,0.6452129050773031,0.6298011016298674,0.6666772891525389
15,0.20474965870380402,0.09301600605249405,0.7657524943351746,0.5303477644920349,0.199561375406786,0.2636245384852033,0.4234308120166258,0.47837029612321835,0.6636661887168884,0.4025021260369144,0.989598274230957,0.2747945189476013,0.467599293733773,0.41169132712933876,0.48013240529561263
17,0.297659307718277,0.6300761103630066,0.517714262008667,0.8490145802497864,0.5600542858751897,0.5322882528420467,0.5065520504603829,0.6569007562095974,0.9163958430290222,0.6074061609728862,0.989598274230957,0.9163958430290222,0.809091127966799,0.7544562630754198,0.7432498773618554
18,0.5626583695411682,0.07582849264144897,0.5358320772647858,0.6650917232036591,0.5746316802965767,0.4671787365885489,0.40502765147988784,0.5763230548337942,0.48963916301727295,0.4835789943185714,0.9905438022688031,0.6650917232036591,0.5788787610643032,0.5262588366637394,0.47513713523594625
20,0.23634520173072815,0.07960115373134613,0.029949385672807693,0.0663381889462471,0.3359294281457912,0.31503805250361877,0.511025939378253,0.2764831309601242,0.13531216979026794,0.22066918342879824,0.00945619773119688,0.13531216979026794,0.1479911175854447,0.19170795967711024,0.22383632055676955
22,0.0025065860245376825,0.03949037939310074,0.0054841721430420876,0.10873396694660187,0.0866351391644419,0.24289217274927602,0.05795770941849567,0.2666582418296079,0.1720963418483734,0.10916163439083082,0.00945619773119688,0.05623224750161171,0.1074225215188564,0.12784540270362738,0.14612480858432703
