,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity)
16,0.11272667906206034,0.12434257401367109,0.12367311182003049,0.12394434908151072,0.09996047430109321,0.10187853516155229,0.1011042249480049,0.10221202172898344,0.11015802988309358
17,0.1106020900924636,0.12199905725793239,0.12134221259196143,0.12160833777439638,0.10269170854711314,0.10471452103044465,0.10391865639603441,0.10500477532537247,0.10811864098428162
18,0.12040630141653043,0.12078059548161149,0.12078059548161149,0.1198837151229957,0.09795696812121024,0.09830083828481617,0.09830083828481617,0.09689938068333284,0.12669076712307512
19,0.12028079403825662,0.1193949650484135,0.1188803244375363,0.12481486605358927,0.0956489984684234,0.09615230808437081,0.09595527473518338,0.09665368016354317,0.13221878897068357
20,0.11907815423141839,0.11637234589301487,0.11898304166261243,0.11400259128361316,0.10363175302824262,0.10153360333414188,0.10310484090157032,0.09977147378568964,0.12352219587969676
21,0.12001318989980612,0.12813978865958706,0.10982490712057198,0.11823261163799087,0.10450750163080047,0.10767165944574036,0.1048969426220684,0.10528133228709569,0.10143206669633925
22,0.1106020900924636,0.12199905725793239,0.12134221259196143,0.12160833777439638,0.10269170854711314,0.10471452103044465,0.10391865639603441,0.10500477532537247,0.10811864098428162
23,0.11293662916139856,0.12455897971722178,0.12388835239218379,0.12455897971722178,0.09836411061341069,0.10109516389653911,0.0995393528567785,0.10073075638092018,0.11432767526432548
24,0.11922591340145526,0.11957390724663462,0.10882186551865433,0.11436678677390708,0.1058052178689198,0.10401122344886758,0.10396961534716417,0.10110455944610068,0.12312091094829648
25,0.11991775210495341,0.12026545942197722,0.12026545942197722,0.11937240430873354,0.09897702595113526,0.09867234690890783,0.09932447694681057,0.09709146994411978,0.126113604991385
26,0.11991775210495341,0.12026545942197722,0.12026545942197722,0.11937240430873354,0.09897702595113526,0.09867234690890783,0.09932447694681057,0.09709146994411978,0.126113604991385
27,0.1242303340500622,0.1215570572805826,0.1242303340500622,0.11893516564098057,0.09745322148346393,0.09509387358494052,0.09720366151378738,0.09304022510218511,0.12825612729393535
28,0.11597938660875119,0.11295773625484583,0.1129737141837796,0.12418809161820124,0.10123776307577062,0.10080757150628769,0.10080757150628769,0.1035777992274101,0.12747036601866574
29,0.11790510597032482,0.11867112095288843,0.106671246261654,0.11936687550703909,0.10542640505973937,0.1043824927237177,0.10266541606871289,0.10280273842054821,0.12210859903537546
30,0.12279047901261039,0.12312594334626087,0.1120163155515865,0.11772400716371584,0.10021565222316854,0.09864243081050239,0.09860297041231324,0.09588580134999745,0.13099640012984476
31,0.1211751139980607,0.12182523840898828,0.11765518916195075,0.11539816252246585,0.09823501425846949,0.0984063851538274,0.0983788336215456,0.0968390320020963,0.13208703087259552
32,0.1244199603835996,0.12917793828278587,0.12631700834748377,0.12340001362363007,0.09456733050219736,0.09438957009241752,0.09476239742558507,0.09399252020226116,0.11897326114003925
33,0.11666057016994605,0.11701163302841623,0.11685137485211042,0.11703296007517003,0.10274731141575529,0.10341402949082694,0.10494161320518282,0.10433005744011804,0.11701045032247435
34,0.11729528924222156,0.11689784204187119,0.11679658087612418,0.11532702670445463,0.10965519535623591,0.10924513776154048,0.10924513776154048,0.10892823504400277,0.09660955521200887
35,0.10992053655475875,0.10965944347660683,0.1106046363475831,0.11031275477440415,0.11054509558759269,0.10872464814852725,0.1101265572358959,0.11043755083080498,0.1196687770438261
36,0.11331180143376887,0.1261478956076185,0.11337154425226162,0.11337154425226162,0.10354552339675156,0.10539429011823458,0.103543775601926,0.10341326217198273,0.11790036316519459
37,0.12043183725045795,0.12078602906856119,0.10988753124365755,0.11548675254698795,0.10421173019446547,0.10257577691016391,0.10253474303692924,0.09970922743199924,0.12437637231677766
38,0.1244199603835996,0.12917793828278587,0.12631700834748377,0.12340001362363007,0.09456733050219736,0.09438957009241752,0.09476239742558507,0.09399252020226116,0.11897326114003925
39,0.12047822075537278,0.11975243693688663,0.12049269864529585,0.12050722616028953,0.09949850937860107,0.09796339140496256,0.10042469756288437,0.100488335172935,0.12039448398277207
40,0.11038750120392529,0.12057997897163451,0.12323176788344704,0.105704395235465,0.10892809994264906,0.10718745770709376,0.1088461889524754,0.10487053195936165,0.11026407814394837
41,0.11293662916139856,0.12455897971722178,0.12388835239218379,0.12455897971722178,0.09836411061341069,0.10109516389653911,0.0995393528567785,0.10073075638092018,0.11432767526432548
42,0.12084375871770933,0.12318675525339055,0.12097998595315053,0.1235892906780726,0.09914785440586273,0.09854953456767736,0.09914195292350349,0.09897440516623283,0.11558646233440031
43,0.11432917358848532,0.1141906541708177,0.10396762175376908,0.11017063767280955,0.11259481908676436,0.11001943926861789,0.10997542767192044,0.10876681120196921,0.11598541558484614
44,0.1046576147740268,0.115427968876784,0.11480650304446792,0.115427968876784,0.11005361438561775,0.11310922362168614,0.111368521376132,0.11270151023971128,0.10244707480479047
45,0.0999042772381354,0.11152628325285326,0.11156430448043256,0.09995695103756463,0.11943805513899788,0.11950181693574043,0.11950181693574043,0.11928549399546913,0.09932100098506658
46,0.11793945546395197,0.11795382747003491,0.11795382747003491,0.11757606341524594,0.10293967827926717,0.10218279405013772,0.10299116098801141,0.10278531035140215,0.11767788251191394
47,0.11331180143376887,0.1261478956076185,0.11337154425226162,0.11337154425226162,0.10354552339675156,0.10539429011823458,0.103543775601926,0.10341326217198273,0.11790036316519459
48,0.11139698648501856,0.11259188028109197,0.11157032399339792,0.1111143933749175,0.11039669212620504,0.11100718466861809,0.11075213415738183,0.11020378002556248,0.1109666248878069
