,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,<class 'new_models.DEWClassifier'>_top_1,<class 'new_models.DEWClassifier'>_top_3,<class 'new_models.DEWClassifier'>_top_5,<class 'new_models.DEWClassifier'>_top_None
3,0.8329505324363708,0.7808925807476044,0.7438373565673828,0.8416430205106735,0.7101049548355511,0.5918360566020093,0.7355305300994155,0.6928217501903811,0.784423440694809,0.7460044691871331,0.9906402723863721,0.8416430205106735,0.8416430205106735,0.830399287375332,0.7815792247287472
6,0.6755920648574829,0.2429591566324234,0.534354567527771,0.7153098583221436,0.4142025290665984,0.47236639468252156,0.44550646838118246,0.5268981421646344,0.8161093592643738,0.5381442823221256,0.9894835352897644,0.5658254623413086,0.6018214112316346,0.6273539363314822,0.5948843499086649
7,0.4805881977081299,0.6402513086795807,0.7116341292858124,0.6667029559612274,0.5316872397149458,0.6245542871865377,0.6333340480841724,0.7225028641129436,0.5939728021621704,0.6228030925439467,0.9906402723863721,0.5939728021621704,0.4688879091542063,0.4462854462652227,0.5221982702975545
10,0.9482245296239853,0.7166984677314758,0.9703906085342169,0.9122715294361115,0.5948397603974376,0.5869319384445782,0.7409807606623398,0.6863834756541285,0.8944615572690964,0.7834647364170411,0.9906402723863721,0.6428464875968136,0.6319992448425029,0.6597463373040157,0.6919927413160627
11,0.801771879196167,0.8678919821977615,0.507604330778122,0.7174953818321228,0.6421332634438409,0.6847652409850868,0.689150413426801,0.6441983980429511,0.5703040659427643,0.680590550649513,0.9906402723863721,0.5703040659427643,0.6252960995685116,0.6596760277457938,0.6670283687142486
15,0.17535696923732758,0.14788015186786652,0.6972237229347229,0.20308972895145416,0.17819423837779627,0.25190912703824303,0.45137390718267434,0.2982839681813862,0.062330394983291626,0.2739602454171959,0.00935972761362791,0.1637546271085739,0.1081906867894542,0.14159000918228387,0.1808791154373063
17,0.022462638095021248,0.0654032751917839,0.036972545087337494,0.3469838500022888,0.1866950550964993,0.26525405811531744,0.2520108817556256,0.3084170601968752,0.06193569302558899,0.17179278406292645,0.00935972761362791,0.00866000633686781,0.13941328673604653,0.09439168464110544,0.14785189591576034
18,0.45723241567611694,0.29054105281829834,0.5725124478340149,0.3377968668937683,0.59731819755403,0.5087115312815604,0.4794343345101939,0.45927341231795027,0.7662639766931534,0.49656491506434297,0.010516464710235596,0.7662639766931534,0.8084836093965471,0.7201933604943802,0.6612271007171626
20,0.020847396925091743,0.008177039213478565,0.6015715599060059,0.025745006278157234,0.1641774319756556,0.20492042503351215,0.1860112163240908,0.24371095066123147,0.010410519316792488,0.16284128284822397,0.00935972761362791,0.010410519316792488,0.016280463813952144,0.05197240221341915,0.09617685940186309
22,0.003420907072722912,0.016509266570210457,0.025121726095676422,0.03643102943897247,0.05867827218564272,0.054473520961220497,0.040707622178279904,0.11601624876322791,0.013169960118830204,0.04050317259830928,0.00935972761362791,0.019559647887945175,0.023052309838895044,0.021704184313826248,0.05779236681091286
27,0.02655983157455921,0.021384354680776596,0.05128940939903259,0.06490234285593033,0.1732740463793617,0.17741774366791285,0.2740030386028571,0.18823202194256955,0.07314325869083405,0.11668956086598155,0.00935972761362791,0.013802463188767433,0.07050123644439753,0.12757684013726822,0.14059071769116246
30,0.1548767238855362,0.2108650952577591,0.8087254166603088,0.8760508894920349,0.26853640564497605,0.42861943702292526,0.16646856320294695,0.423215356176334,0.666090190410614,0.44482756419482616,0.9894835352897644,0.8760508894920349,0.7612202304932201,0.6719613129797228,0.5514046301697328
36,0.0025965168606489897,0.022944090887904167,0.008449333719909191,0.12756407260894775,0.1805590313294823,0.2813484067803592,0.13154058728808649,0.24538202887710256,0.023197075352072716,0.11373123818939039,0.00935972761362791,0.023197075352072716,0.08078481434078262,0.12064079932278607,0.13643697450210684
37,0.3980654180049896,0.21921929717063904,0.11651891469955444,0.36242419481277466,0.2028336298995736,0.2884921880627783,0.15869001087590567,0.17919405959796134,0.3870003819465637,0.2569375661189712,0.00935972761362791,0.07920726388692856,0.2065025156569768,0.20326552105454104,0.18955177861681283
38,0.002419212367385626,0.004876977298408747,0.0037422014866024256,0.004754430148750544,0.11862009717199877,0.11810657986329094,0.06069156768024337,0.07756231266140712,0.006176298949867487,0.04410551973643945,0.00935972761362791,0.006176298949867487,0.006042318870761192,0.03322636564205317,0.041507157779164104
45,0.9768889285624027,0.9671636894345284,0.998624530271627,0.9903804585337639,0.800967767520959,0.7806887529510411,0.8274968790545288,0.8519839021913185,0.9948007958009839,0.9098884115912393,0.9906402723863721,0.8395524389177499,0.8234919722174436,0.8463123329151838,0.8936178312959938
49,0.0010461729252710938,0.0029711101669818163,0.004472217056900263,0.0004451827553566545,0.031012968332103572,0.041673763862203526,0.01624241773678602,0.04301680487349593,0.0014288831735029817,0.01581216898695576,0.00935972761362791,0.0004451827553566545,0.00042874948874461094,0.007674532155767894,0.019252475301899823
52,0.9767139013856649,0.9823248963803053,0.9903597123920918,0.9951525782234967,0.8472200313568515,0.7686992332676805,0.8294462630845452,0.7713504206205158,0.9939128956757486,0.9061311035985445,0.9906402723863721,0.9951525782234967,0.932504711374128,0.9148935959254607,0.9020499801175474
56,0.00293098040856421,0.0408356599509716,0.020273279398679733,0.08499570935964584,0.05863102711020615,0.10892779636172416,0.09536121771046215,0.1892041168978899,0.012760082259774208,0.06821331882865755,0.00935972761362791,0.08499570935964584,0.06590607390833343,0.09539553889352785,0.07236710491120465
63,0.6135313510894775,0.5933532118797302,0.7118602991104126,0.24871350824832916,0.6197090638733982,0.5473565549357982,0.6254887881236164,0.5602757562849086,0.6271239519119263,0.5719347206063997,0.00935972761362791,0.27342984080314636,0.39915505854759914,0.4146279680152104,0.48840496426834945
