,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,<class 'new_models.DEWClassifier'>_top_1,<class 'new_models.DEWClassifier'>_top_3,<class 'new_models.DEWClassifier'>_top_5,<class 'new_models.DEWClassifier'>_top_None
3,0.6512064337730408,0.9273713901638985,0.6838272511959076,0.5354123711585999,0.4836151205890602,0.5509732694469888,0.39130443051960073,0.43469641217140176,0.8242018520832062,0.609178725677967,0.9905438022688031,0.85621078312397,0.7386144663160823,0.715540074255846,0.6114071625672041
6,0.1911718249320984,0.8500263094902039,0.5465179681777954,0.11941541731357574,0.27092968708969933,0.46581460186816565,0.45183392457480215,0.4292763078841319,0.03200899437069893,0.3729994484112413,0.00945619773119688,0.03200899437069893,0.2640019377949327,0.36740688519057096,0.3136967462745019
7,0.13250690698623657,0.0487058162689209,0.025915324687957764,0.03391653299331665,0.4213764996512438,0.3903879375949686,0.3055818845824163,0.29699609679457495,0.33776628971099854,0.221461476585626,0.010401725769042969,0.33776628971099854,0.16148251448218187,0.11379355031506988,0.18551700616864597
10,0.8125105053186417,0.9359715133905411,0.11483645439147949,0.7906443476676941,0.4175172485900053,0.5553603805762852,0.47584990014230155,0.6534462688266623,0.9614921547472477,0.6352920859612063,0.9905438022688031,0.4604143934415521,0.5660110246147302,0.6562612785469539,0.695759076004339
11,0.222009539604187,0.04011255502700806,0.7394081950187683,0.1155557632446289,0.400726724498794,0.39864842700211456,0.47918268695005806,0.4792665043002412,0.14622467756271362,0.33568167480094596,0.010401725769042969,0.7435363531112671,0.533737627745386,0.37955180449486625,0.4368831564674849
15,0.010555492714047432,0.008536534383893013,0.020421020686626434,0.023499371483922005,0.19772413854608717,0.3045427392826002,0.15641977598825368,0.1842216910613428,0.03099025972187519,0.10410122487429423,0.00945619773119688,0.023499371483922005,0.021897734343385718,0.023682963312213767,0.0883548738227393
17,0.961025595664978,0.5722621083259583,0.4247068166732788,0.9339072704315186,0.6675996659814524,0.4961604614683722,0.6840575290722348,0.7514297314026354,0.9507020711898804,0.7157612500233677,0.989598274230957,0.9507020711898804,0.8644962431079161,0.6837333503046914,0.6480898215340675
18,0.08957499265670776,0.016288816928863525,0.07162964344024658,0.08164399862289429,0.4867876683317788,0.3561403427917065,0.3040948705805734,0.5003893691108676,0.1224590539932251,0.22544541738409596,0.010401725769042969,0.189294695854187,0.1091564945311505,0.14489821796280467,0.23956161973852474
20,0.24358133971691132,0.3943721652030945,0.1973492056131363,0.4516710340976715,0.24780364640746516,0.3108087994166097,0.26515990446390636,0.29414962164657693,0.3813546597957611,0.30958337515123696,0.00945619773119688,0.3806088864803314,0.391808136077615,0.3800058944148313,0.3301272989271288
22,0.002370239468291402,0.006009110249578953,0.007056999020278454,0.0018637079047039151,0.05610366467887931,0.07507883655036554,0.14290392953322406,0.0636680508594748,0.0017896106000989676,0.03964934987387727,0.00945619773119688,0.0017896106000989676,0.001839004953565669,0.00184880064048471,0.025950600172999067
27,0.16341719031333923,0.28327128291130066,0.629525899887085,0.3473163843154907,0.33686499809911696,0.3854774980037173,0.3885314126556417,0.2629937225817665,0.07546834647655487,0.31920741502711253,0.00945619773119688,0.3473163843154907,0.3473163843154907,0.29361253481487115,0.28322533024422797
30,0.14558443427085876,0.13925063610076904,0.6641824245452881,0.2416161745786667,0.27037952216354716,0.2916062868044155,0.45626825711916313,0.2416092633602068,0.06779838353395462,0.2798105980529855,0.00945619773119688,0.06779838353395462,0.1751577290354131,0.20899394643721084,0.2255222246130545
36,0.0032073368784040213,0.013409550301730633,0.0076252068392932415,0.007087107747793198,0.06650338938230704,0.11527342369769189,0.053625377235631176,0.11299093305642197,0.003520580008625984,0.04258254501643324,0.00945619773119688,0.003520580008625984,0.006716149210031194,0.010902862102218679,0.0488408273279455
37,0.007108015939593315,0.021595051512122154,0.03682038560509682,0.046643491834402084,0.22223141546516845,0.2830404920776394,0.21034427474628686,0.19237098098777414,0.12262088060379028,0.12697499875243037,0.00945619773119688,0.12262088060379028,0.24832789264621963,0.20077455422391519,0.16157835323430422
38,0.004263970535248518,0.0015979033196344972,0.003961062058806419,0.0031305726151913404,0.07507932064670793,0.08847806443466957,0.09101627621878208,0.08256135314349727,0.0032131026964634657,0.03925573618544456,0.00945619773119688,0.08684706742921154,0.08407244503432958,0.053764877188219894,0.04212319688057728
45,0.5033007860183716,0.4791194796562195,0.5007151961326599,0.4012870192527771,0.6384737789341008,0.5567633536779659,0.5463771998864866,0.6082931687341355,0.36792540550231934,0.5113617097550041,0.010401725769042969,0.32444053888320923,0.36448774051735144,0.37863234885610364,0.46289306148603415
49,0.0009901715675368905,0.0013014153810217977,0.0014442240353673697,0.0009221432846970856,0.032533828977499964,0.05575285606523596,0.03147112797611876,0.0490058483927492,0.0009768132586032152,0.01937760321542558,0.00945619773119688,0.0009768132586032152,0.0009408377426234982,0.0009624106878662524,0.020095533108740658
