,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,<class 'new_models.DEWClassifier'>_top_1,<class 'new_models.DEWClassifier'>_top_3,<class 'new_models.DEWClassifier'>_top_5,<class 'new_models.DEWClassifier'>_top_None
3,0.2792196273803711,0.6854629218578339,0.6104976832866669,0.655149519443512,0.5433469820810659,0.5506763555129721,0.4875860930842648,0.5471941754323597,0.7777249664068222,0.5707620360539853,0.9907351871952415,0.7777249664068222,0.7009634043468054,0.6833211943706183,0.6331106969738796
6,0.08012065291404724,0.10784399509429932,0.044939544051885605,0.12996305525302887,0.4412031561979056,0.45284558854595197,0.6121424429423745,0.4930912937150509,0.14230689406394958,0.2782729580864993,0.009264812804758549,0.14230689406394958,0.18141216264276652,0.16089273297183931,0.28858229327329565
7,0.5922380089759827,0.824809804558754,0.8123765289783478,0.38197386264801025,0.53722778397243,0.5815806462089379,0.5992030908627116,0.49490270290240324,0.37987858057022095,0.5782434455197554,0.010633409023284912,0.37987858057022095,0.5435178218945237,0.47895394253405066,0.5036981132053316
10,0.8926166445016861,0.8704861253499985,0.8787277638912201,0.7867296934127808,0.634451182118062,0.6705438306845386,0.5055663796987326,0.5829544213096844,0.911442331969738,0.748168708104049,0.9907351871952415,0.911442331969738,0.829063693091227,0.811088943411503,0.719505342281343
11,0.47354257106781006,0.648890882730484,0.7033042013645172,0.5929684340953827,0.7232418944408281,0.7267641830619896,0.6054979965825145,0.5584015645274027,0.7855227589607239,0.6464593874257392,0.9907351871952415,0.7855227589607239,0.6479357564049878,0.6264011915946783,0.5991813065145116
15,0.07865972816944122,0.04026491194963455,0.02273559756577015,0.04303992539644241,0.27335284037533236,0.23983386650835598,0.22260441212321802,0.2649083192831311,0.02205381542444229,0.13416149075508535,0.009264812804758549,0.05762840807437897,0.10895966264043123,0.15854518880997176,0.13068510035469802
17,0.7974379062652588,0.8620575666427612,0.8318576216697693,0.9422027468681335,0.6272768446910962,0.5491765790942167,0.6262683598061571,0.5364309835317538,0.8084520697593689,0.731240075369835,0.9893665909767151,0.8084520697593689,0.8949061270801778,0.9122787225677329,0.7677799783062772
18,0.19972199201583862,0.49394381046295166,0.3606019616127014,0.2361677885055542,0.34340743351054326,0.2808677457115628,0.33518560662077723,0.2826130216307807,0.5082331001758575,0.3378602733607297,0.010633409023284912,0.28423494607623456,0.2831568099500772,0.32468597255692355,0.31017420445901445
20,0.043108485639095306,0.04544515907764435,0.015672223642468452,0.02001318894326687,0.3538601475378874,0.31135395582890985,0.3732466737940422,0.295290374934761,0.26372385025024414,0.19130156218314662,0.009264812804758549,0.04371640831232071,0.10415568443090659,0.12275502934694334,0.1730461248071204
22,0.03233827278017998,0.02280448004603386,0.006800175178796053,0.017594141885638237,0.08237129951455614,0.12001618400786679,0.13724050978555324,0.14635325014371145,0.006463481113314629,0.06355353271729448,0.009264812804758549,0.022528108209371567,0.048238352587263965,0.08156392996429677,0.0678156406883209
27,0.06372743844985962,0.3331228196620941,0.10774294286966324,0.07833539694547653,0.22737313284503596,0.24582330365388386,0.28861857455830825,0.2164498211937157,0.18208816647529602,0.19369795518370372,0.009264812804758549,0.07833539694547653,0.10849755475081876,0.11932974210493782,0.1424499839425919
30,0.08904379606246948,0.29093998670578003,0.19049453735351562,0.3034464716911316,0.2059602388612353,0.22361106552503418,0.22019515935057193,0.2202379619441782,0.19677044451236725,0.21563329577847598,0.009264812804758549,0.3165375590324402,0.22366654128678415,0.2368801970168847,0.22551921813017248
36,0.007351990323513746,0.0077843512408435345,0.019653024151921272,0.030050041154026985,0.09169688203558136,0.13319693484407044,0.1509144869532846,0.1690920903047192,0.0281820110976696,0.07088020134507007,0.009264812804758549,0.0281820110976696,0.03216115126670405,0.0313207156901993,0.07946172758085884
37,0.07425286620855331,0.07652047276496887,0.057391200214624405,0.025166846811771393,0.23293959913947146,0.27902367402085526,0.3064546635465224,0.25419028542365424,0.03950461372733116,0.14949380242863916,0.009264812804758549,0.03950461372733116,0.09750529626114346,0.07101668934641639,0.1242910382436924
38,0.0029947359580546618,0.0018806045409291983,0.0038978003431111574,0.00787715706974268,0.09104220211714434,0.11315829437923192,0.13002907042552836,0.12375968746933147,0.002961269812658429,0.053066758012859136,0.009264812804758549,0.002961269812658429,0.006219103501598055,0.006879649333407867,0.051385855861892676
45,0.6720229387283325,0.3826446533203125,0.6298187375068665,0.5513638854026794,0.620923485183547,0.5555122857562973,0.5414411581996721,0.6012312296742908,0.4437798857688904,0.5554153621712098,0.010633409023284912,0.4437798857688904,0.42675115155140764,0.448787490103262,0.5045908189267756
49,0.0008229672093875706,0.0022191826719790697,0.0007102516246959567,0.0006477920105680823,0.048398721001376585,0.058930903264807044,0.03603483490487835,0.04808709075023424,0.0014761819038540125,0.021925325037975656,0.009264812804758549,0.0014761819038540125,0.0013007831189944725,0.0010539725044060577,0.020788631712109783
52,0.992842529900372,0.9826396033167839,0.9885038807988167,0.9653696045279503,0.6369509003703471,0.7624224137437495,0.7037408998181828,0.7002469179885145,0.8238908499479294,0.8396230667125162,0.9907351871952415,0.9359577223658562,0.9555656438072523,0.9349295043827188,0.8469963124547766
56,0.004121147561818361,0.0046912976540625095,0.001370705896988511,0.0023083339910954237,0.07580961847939931,0.06703795137880304,0.09877381498332095,0.09642083452360675,0.002021322026848793,0.039172780721771515,0.009264812804758549,0.0023083339910954237,0.0022126689561654885,0.002250917334438885,0.03783394350713704
63,0.156707763671875,0.25949910283088684,0.12194070219993591,0.17143666744232178,0.3079066586267432,0.4343599368241535,0.422163913002117,0.5661901225557523,0.4024568498134613,0.3158513018852497,0.009264812804758549,0.17143666744232178,0.17143666744232172,0.21744165348918404,0.34248443182335153
67,0.022120529785752296,0.01811153069138527,0.017542866989970207,0.03892858698964119,0.04314499360441639,0.09647367290134126,0.07650917184245058,0.10189641601786609,0.020182622596621513,0.04832337682438276,0.009264812804758549,0.020182622596621513,0.07201936042484716,0.07000150467182459,0.06146999280583543
70,0.0022466250229626894,0.0028075713198632,0.0007402788032777607,0.0013658219249919057,0.0354155406945388,0.05276297888174923,0.02353348642016174,0.10468483863959699,0.0022240260150283575,0.025086796413574516,0.009264812804758549,0.0013658219249919057,0.001365821924991906,0.0015195117134783767,0.042430086033609565
71,0.008764688856899738,0.007319309748709202,0.0017699887976050377,0.0030241983477026224,0.052612909992739515,0.07174957608878212,0.04852094601598947,0.09427673344943707,0.0032653643283993006,0.03236707951402934,0.009264812804758549,0.0030241983477026224,0.0030241983477026224,0.0030674873514403875,0.03705756938758117
74,0.20237362384796143,0.16019684076309204,0.33153295516967773,0.03999811410903931,0.15757576547535646,0.18279398813165726,0.10986952003100048,0.12342099767319181,0.21051132678985596,0.16869701466564802,0.010633409023284912,0.12342099767319181,0.12342099767319215,0.1382465238987688,0.09900112307283393
79,0.16108977794647217,0.11821965873241425,0.18431931734085083,0.0877540186047554,0.5686703585681616,0.49578574852362073,0.4690440184689569,0.5879890947261351,0.6287394165992737,0.366845712167849,0.009264812804758549,0.06082263961434364,0.2591629480108866,0.1957235512184069,0.33328316716664924
80,0.7682024240493774,0.778081551194191,0.589372456073761,0.8032658100128174,0.47795461705038644,0.4989978179215967,0.47558120415530525,0.46523497920113566,0.5776614546775818,0.6038169238151281,0.9907351871952415,0.8032658100128174,0.8032658100128174,0.7582589313603081,0.6642362112885027
88,0.028758957982063293,0.08017025142908096,0.07568433880805969,0.13243944942951202,0.4570135456973386,0.3831633034325148,0.4266292245467101,0.44995647558805646,0.22479192912578583,0.2509563862265691,0.009264812804758549,0.22479192912578583,0.16547105305415571,0.15279107002093037,0.27949533814085
92,0.3221135437488556,0.7404476404190063,0.38455837965011597,0.5644677877426147,0.37854463010315514,0.32226431390261445,0.3945908735761677,0.4525144538091482,0.7206112742424011,0.4755680996882311,0.9893665909767151,0.7206112742424011,0.6786092202349225,0.6418308434919687,0.548490560266795
102,0.047987621277570724,0.022817883640527725,0.02247237227857113,0.019988665357232094,0.19214788467303565,0.18179890097197535,0.1534499713597846,0.16254971474930374,0.018493488430976868,0.09130072252655312,0.009264812804758549,0.019988665357232094,0.01998866535723209,0.01969181878970984,0.06889102711575107
107,0.5239173173904419,0.8823400735855103,0.7743818759918213,0.736572802066803,0.3506202819986286,0.45141507961609745,0.5613582276060577,0.43197435317455474,0.7917588949203491,0.611593211816696,0.9893665909767151,0.8435859084129333,0.8079025636631947,0.7456649036841247,0.6497776450537528
