,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,<class 'new_models.DEWClassifier'>_top_1,<class 'new_models.DEWClassifier'>_top_3,<class 'new_models.DEWClassifier'>_top_5,<class 'new_models.DEWClassifier'>_top_None
3,0.7633888274431229,0.45138823986053467,0.2974025011062622,0.967683020979166,0.6568896723852278,0.5673514870277434,0.626257556363746,0.7159639356413178,0.8340830355882645,0.6533786973772651,0.9915290586650372,0.9617778733372688,0.9509121886419318,0.925492150071081,0.8085472167057866
6,0.5741664171218872,0.0682734027504921,0.015377343632280827,0.30367735028266907,0.40221590363424975,0.3709406179479416,0.37273891924983205,0.5037378946922751,0.0269452016800642,0.29311922788796574,0.011496443301439285,0.47504591156991227,0.4846101349517123,0.4145520626269837,0.3110518027149332
7,0.13289707899093628,0.0388486385345459,0.48771679401397705,0.1617136001586914,0.45557068213300167,0.48498513140493205,0.453512326061268,0.5662691669597069,0.3988654613494873,0.3533754310673941,0.011871397495269775,0.5460848235253635,0.5534341205851565,0.4032340812706159,0.36882644222257854
10,0.5314530432224274,0.744689017534256,0.8266593962907791,0.7704521119594574,0.6863546067667968,0.664845654282787,0.6876890831954918,0.6757791175848435,0.7455784976482391,0.7037222809427865,0.9885035566985607,0.7704521119594574,0.7832457753980789,0.7743820731103156,0.7318363491786342
11,0.2775362730026245,0.546406090259552,0.8323792070150375,0.7347229719161987,0.7536487525786638,0.7734686593645199,0.8600708852107262,0.7913975799999369,0.7007571756839752,0.6967097327812484,0.9885035566985607,0.7347229719161987,0.8350414932430541,0.8400095932279287,0.8160105586707658
15,0.012023444287478924,0.02706257998943329,0.015853647142648697,0.015232928097248077,0.16837062966481198,0.19570034530134806,0.09288435058897557,0.22546536937599296,0.021674511954188347,0.08602975626690287,0.008470941334962845,0.021674511954188347,0.13223826146701437,0.12922116209467574,0.10495847739812292
17,0.6253679394721985,0.8285788893699646,0.6811891198158264,0.7300242185592651,0.5343095523671899,0.622648540852413,0.5510560303069605,0.4985687556416923,0.6999602913856506,0.6413003708634623,0.9881286025047302,0.6999602913856506,0.6487585446933224,0.6045724765870908,0.6556288802152322
18,0.05651044845581055,0.037851154804229736,0.26994627714157104,0.1227005124092102,0.349766116829784,0.39573615178764576,0.37482727466537524,0.29370485317441686,0.04789775609970093,0.2165489494853049,0.011871397495269775,0.1227005124092102,0.12270051240920998,0.10791603558601126,0.182087179506211
20,0.02917282097041607,0.03529774770140648,0.013540725223720074,0.1417427808046341,0.29092663377734285,0.2802377818763944,0.22056669292098235,0.36951996775913193,0.07451359182596207,0.16172430476222113,0.008470941334962845,0.250015527009964,0.1808276482931564,0.24830969879851222,0.24998134817489143
22,0.0019462188938632607,0.00401752395555377,0.0012521423632279038,0.003243640996515751,0.08107777084742869,0.09218655575955591,0.09475328979333586,0.08385804987236992,0.001941401045769453,0.0404751770586245,0.008470941334962845,0.001941401045769453,0.04960151718117431,0.047198577335933446,0.03938930659838731
