,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,<class 'new_models.DEWClassifier'>_top_1,<class 'new_models.DEWClassifier'>_top_3,<class 'new_models.DEWClassifier'>_top_5,<class 'new_models.DEWClassifier'>_top_None
3,0.8416285961866379,0.33185821771621704,0.5911679863929749,0.7269518077373505,0.5967782483234265,0.5857427982615493,0.5155672131314183,0.6239808102692763,0.4903021454811096,0.5893308692777732,0.9909206358715892,0.4903021454811096,0.6531498557658564,0.6426228458254988,0.6493406069476964
6,0.34919673204421997,0.20653045177459717,0.4746629297733307,0.2881908416748047,0.5174772405396364,0.46613948307437275,0.4605649005856112,0.37698911920045447,0.44513291120529175,0.39832051220803544,0.009079364128410816,0.16906023025512695,0.29999377712287767,0.25428716361812825,0.29688817798466366
7,0.4015932083129883,0.541669636964798,0.4773402810096741,0.5485381186008453,0.46429681322289673,0.47073804474081515,0.44401208452498775,0.43884105666822604,0.1404433250427246,0.43638584100977285,0.9909206358715892,0.4598255753517151,0.3828667621500643,0.5165996596049964,0.49184575274385955
10,0.9207763373851776,0.9726276062428951,0.9355616793036461,0.9271770045161247,0.6645308554015887,0.7162057713333665,0.7535250545533171,0.693396501373913,0.9902550419792533,0.8415617613432536,0.9909206358715892,0.9902550419792533,0.8766502359945145,0.8209302791530824,0.8456983671720761
11,0.6874100267887115,0.3538990020751953,0.5114883780479431,0.5948860943317413,0.6956458522024952,0.6879427139804429,0.6211387142878984,0.6435923030715048,0.1759386658668518,0.5524379722947539,0.9909206358715892,0.1759386658668518,0.49347043831094395,0.5872892691990927,0.6194991086834518
15,0.017110111191868782,0.007110071834176779,0.01742658205330372,0.003856246592476964,0.18976884607710748,0.16612055010771468,0.1568731428988264,0.19918559460340163,0.01687115989625454,0.08603581169501455,0.009079364128410816,0.008479343727231026,0.011702973525285564,0.008584697249571534,0.08517136886716657
17,0.9675980806350708,0.8556787371635437,0.9951359629631042,0.8134728670120239,0.7152604326249731,0.7050724126034679,0.7887221088932738,0.6734544285142813,0.9638289213180542,0.8309137724141993,0.9891259670257568,0.9638289213180542,0.8171260276301341,0.8412629700159022,0.7647129177862321
18,0.2660791873931885,0.21799850463867188,0.19542545080184937,0.7259364724159241,0.49221083626378936,0.5003372450526988,0.5743129902699654,0.6161853816540259,0.3417931795120239,0.4366976942224597,0.9909206358715892,0.7259364724159241,0.7259364724159242,0.6520555009381174,0.638373506103354
20,0.05498029664158821,0.04240382835268974,0.028507761657238007,0.017574241384863853,0.3343386679969498,0.26822155745015336,0.26190939980472583,0.31245258552624927,0.007089013233780861,0.14749748356091544,0.009079364128410816,0.31245258552624927,0.30200104412922607,0.2496180070177348,0.15193704920056944
22,0.0025271116755902767,0.0022514336742460728,0.001671861857175827,0.0029194215312600136,0.05996856617342738,0.0833161786815518,0.05644923070244714,0.05846380066433378,0.00589439831674099,0.030384667030752585,0.009079364128410816,0.0035006762482225895,0.02156894564362779,0.03426266889555296,0.02771056410577568
27,0.08765644580125809,0.14807753264904022,0.06204104796051979,0.13288310170173645,0.29684159635294255,0.24241790321908774,0.17555379295430687,0.2460779713836933,0.30267423391342163,0.18824706954844517,0.009079364128410816,0.30267423391342163,0.29930803844006937,0.28315734538445264,0.2672127849717411
30,0.05170302838087082,0.04600372537970543,0.08421148359775543,0.04494895786046982,0.19951896198221042,0.28624493494610126,0.22812896577990077,0.28758661599838065,0.07635032385587692,0.14496633308680795,0.009079364128410816,0.04494895786046982,0.044948957860469804,0.05057538217989263,0.14253982746288102
36,0.014207818545401096,0.013733947649598122,0.012989520095288754,0.02870790846645832,0.12107419123437983,0.12025700537409169,0.13626528870062518,0.11917523346695354,0.012895720079541206,0.0643674037347042,0.009079364128410816,0.11917523346695354,0.1191752334669535,0.1014070534518148,0.06858003824676429
37,0.023347366601228714,0.030741360038518906,0.06943794339895248,0.0370020717382431,0.13310257360176647,0.1025327625988321,0.19235986854936346,0.09799253271321903,0.02144804783165455,0.07866272523019764,0.009079364128410816,0.02144804783165455,0.03436614983013243,0.05112730819524343,0.05215641965394849
38,0.01197537500411272,0.009324762038886547,0.01185104250907898,0.01176108792424202,0.1386701074828046,0.12776533787468758,0.11669708322577513,0.09638564070677255,0.007177075371146202,0.059067501348611814,0.009079364128410816,0.01176108792424202,0.010051077314815167,0.009287301575840935,0.0388978708130965
45,0.2341386079788208,0.21756941080093384,0.7733287215232849,0.14399021863937378,0.5532402043424283,0.5687858609175982,0.46858309844146473,0.46884968563606233,0.6618205308914185,0.4544784821301539,0.010874032974243164,0.6618205308914185,0.4662891112862688,0.4714133874024824,0.4537483554361431
49,0.0011611670488491654,0.0014219763688743114,0.0007786078494973481,0.0016775458352640271,0.03688815635294749,0.03873386378972718,0.03191201334212272,0.02509083937867613,0.0016657233936712146,0.015481099262181065,0.009079364128410816,0.002025506692007184,0.001788677798606037,0.0017445033945536065,0.009540927020426217
52,0.9559930674731731,0.9936359860002995,0.9844151167199016,0.9695144891738892,0.7761995439105723,0.82357688189619,0.809092638384836,0.7147112883185451,0.9849039446562529,0.8902269951704067,0.9909206358715892,0.9845640454441309,0.9869306468186405,0.9843458711375672,0.8800355503176759
