,Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(XGBClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(XGBClassifier)_Imputer(KNNImputer),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.linear_model._bayes.BayesianRidge'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'xgboost.sklearn.XGBRegressor'>)),Estim(RandomForestClassifier)_Imputer(IterativeImputer(<class 'sklearn.ensemble._forest.RandomForestRegressor'>)),Estim(RandomForestClassifier)_Imputer(KNNImputer),Estim(<class 'new_base.ClassifierWithImputation'>)_Imputer(Identity),Uniform Model Averaging,<class 'sklearn.ensemble._stacking.StackingClassifier'>,dew_top_1,dew_top_3,dew_top_5,dew_top_None
sensitivity,0.5566199999999999,0.5941,0.58266,0.52908,0.3946,0.47181999999999996,0.47896,0.32662,0.56208,0.53338,0.59676,0.52344,0.5225199999999999,0.51214,0.49219999999999997
specificity,0.78382,0.8033199999999999,0.7956,0.7837,0.8328599999999999,0.8050200000000001,0.79374,0.8618,0.7954399999999999,0.8374600000000001,0.78118,0.78684,0.82112,0.8353999999999999,0.8459199999999999
ppv,0.6770800000000001,0.7109,0.6988999999999999,0.6657,0.6585000000000001,0.6636000000000001,0.6555000000000001,0.6606799999999999,0.6913600000000001,0.7278800000000001,0.69004,0.6670999999999999,0.70442,0.7175400000000001,0.7232000000000001
npv,0.68468,0.70854,0.7007199999999999,0.67156,0.62828,0.6518200000000001,0.6517200000000001,0.6112400000000001,0.69056,0.6879,0.70448,0.6697799999999999,0.67872,0.67778,0.67172
gmean_sens_spec,0.66046,0.6908199999999999,0.68076,0.6438,0.57298,0.61618,0.61614,0.5297799999999999,0.66854,0.6683,0.6822199999999999,0.6415600000000001,0.6548999999999999,0.65396,0.6451
gmean_all_metrics,0.6706000000000001,0.7002,0.6902200000000001,0.6561,0.6070399999999999,0.63658,0.63454,0.58004,0.6796399999999999,0.6876800000000001,0.68966,0.6548200000000001,0.6728799999999999,0.67526,0.6705
roc_auc,0.7464400000000001,0.7847799999999999,0.77212,0.7325999999999999,0.68784,0.7085600000000001,0.69874,0.6729999999999999,0.75818,0.77828,0.7672800000000001,0.7256199999999999,0.75434,0.75956,0.7622199999999999
accuracy,0.6818399999999999,0.7094199999999999,0.7000200000000001,0.6694,0.6361800000000001,0.6554800000000001,0.6524599999999999,0.6216200000000001,0.69074,0.7009799999999999,0.6984,0.66862,0.6871200000000001,0.6903,0.6872
